INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
1548.47,961.91,1229.25,400.82
1551.58,962.28,1230.81,401.15
1554.68,962.65,1232.37,401.48
1557.78,963.02,1233.94,401.82
1560.88,963.39,1235.5,402.15
1565.0,963.76,1237.06,402.48
1568.08,964.13,1238.63,402.81
1571.16,964.51,1240.19,403.14
1574.24,964.88,1241.75,403.48
1577.31,965.25,1243.31,403.81
1580.38,965.62,1244.88,404.14
1583.44,966.0,1246.44,404.47
1586.5,966.37,1248.0,404.81
1589.55,966.74,1249.56,405.14
1593.62,967.12,1251.12,405.47
1596.66,967.49,1252.68,405.8
1599.71,967.87,1254.24,406.14
1602.74,968.24,1255.8,406.47
1605.77,968.62,1257.36,406.8
1608.8,968.99,1258.92,407.13
1611.82,969.37,1260.48,407.47
1614.84,969.74,1262.04,407.8
1617.86,970.12,1263.6,408.13
1621.87,970.5,1265.16,408.47
1624.87,970.87,1266.71,408.8
1627.87,971.25,1268.27,409.13
1630.87,971.63,1269.83,409.46
1633.86,972.01,1271.39,409.8
1636.85,972.38,1272.94,410.13
1639.83,972.76,1274.5,410.46
1642.81,973.14,1276.06,410.79
1645.79,973.52,1277.61,411.13
1649.75,973.9,1279.17,411.46
1652.71,974.28,1280.73,411.79
1655.67,974.66,1282.28,412.12
1658.63,975.04,1283.84,412.46
1661.58,975.42,1285.39,412.79
1664.52,975.8,1286.95,413.12
1667.47,976.18,1288.5,413.45
1670.41,976.56,1290.05,413.79
1673.34,976.94,1291.61,414.12
1677.25,977.33,1293.16,414.45
1680.17,977.71,1294.71,414.78
1683.09,978.09,1296.27,415.12
1686.01,978.47,1297.82,415.45
1688.92,978.86,1299.37,415.78
1691.83,979.24,1300.92,416.12
1694.73,979.62,1302.47,416.45
1697.63,980.01,1304.03,416.78
1700.52,980.39,1305.58,417.11
,980.78,1307.13,417.45
,981.16,1308.68,417.78
,981.55,1310.23,418.11
,981.93,1311.78,418.44
