Date of acquisition,Date of measurement,LABEL,VARIETY,Location,Batch (Fogiene),WEIGHT (g),DIA1 (mm) - short width,DIA2 (mm) - long width,DIA3 (mm) - length,VOL_BEFORE (ml),VOL_AFTER (ml),VOLUME (ml),VISUAL_COLOR,VISUAL_MATURITY,VISUAL_DAMAGE (at spectral acquisition side),REMARKS,Distance to probe (cm),Presence of beak/nose,Density of water,Density of fruit,Ripening remarks
13-06-2023,14-06-2023,298,Badami,Chennapatna,38,276.8,71.36,78.65,95.04,365,650,285,yellow,"immature/mature , ripened",damage near stem,"lenticels with shoulderr development, black spots near stem",7.3,no,0.918947368,0.97122807,
13-06-2023,15-06-2023,299,Badami,Chennapatna,39,208.2,62.45,71.67,90.64,640,850,210,yellow with little green,"immature/mature , ripened",damage near stem,"lenticels with shoulderr development, black spots near stem",8.1,not prominent,0.93734375,0.991428571,
13-06-2023,15-06-2023,300,Badami,Chennapatna,40,179.8,61.72,68.3,89.11,635,830,195,yellow with little green,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots near stem",8.2,no,0.93734375,0.922051282,
13-06-2023,15-06-2023,301,Badami,Chennapatna,41,187.1,62.37,70.43,93.83,635,850,215,yellow,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots",8,not prominent,0.93734375,0.870232558,
13-06-2023,15-06-2023,302,Badami,Chennapatna,42,223.1,63.55,71.58,96.86,630,870,240,yellow with little green,"immature/mature , ripened",black line on A side,"lenticels with shoulderr development, black spots",7.9,no,0.93734375,0.929583333,
13-06-2023,15-06-2023,303,Badami,Chennapatna,43,211.5,64.19,72.77,90.05,630,850,220,yellow,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots",7.9,not prominent,0.93734375,0.961363636,
13-06-2023,15-06-2023,304,Badami,localmarket,44,192.2,63.45,64.44,86.7,630,820,190,yellow,"immature/mature , ripened",damage near stem,"lenticels with shoulderr development, black spots near stem",8.1,yes,0.93734375,1.011578947,
13-06-2023,15-06-2023,305,Badami,localmarket,45,173.3,61.14,64.17,82.5,630,800,170,yellow,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots near stem",8.3,yes,0.93734375,1.019411765,
13-06-2023,15-06-2023,306,Badami,localmarket,46,179.5,59.08,69.29,85.29,630,810,180,yellow with little green and red blush,"immature/mature , ripened",none,lenticels with shoulderr development,8.3,yes,0.93734375,0.997222222,
13-06-2023,15-06-2023,307,Badami,localmarket,47,190.5,59.9,69.69,86.01,625,810,185,yellow,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots",8.3,not prominent,0.93734375,1.02972973,
14-06-2023,16-06-2023,308,Badami,Chennapatna,48,228.9,63.63,74.48,93.13,620,840,220,yellow,"immature/mature , ripened",damage near stem,"lenticels with shoulderr development, black spots",8,not prominent,0.924354839,1.040454545,
14-06-2023,16-06-2023,309,Badami,Chennapatna,48,308.9,73.83,84.91,101.52,610,935,325,yellow,"immature/mature , ripened",damage near callyx,"lenticels with shoulderr development, black spots",7.1,yes,0.924354839,0.950461538,
14-06-2023,16-06-2023,310,Badami,Chennapatna,48,182.4,60,67.72,86.23,610,800,190,yellow with little green,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots near stem",8.9,yes,0.924354839,0.96,
14-06-2023,16-06-2023,311,Badami,Chennapatna,48,249.4,67.28,71.93,95.98,610,860,250,yellow with little green,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots near stem",7.8,not prominent,0.924354839,0.9976,
14-06-2023,16-06-2023,312,Badami,Chennapatna,48,268.2,64.01,75.25,104.67,600,880,280,yellow with little green,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots on A and B side",7.7,a,0.924354839,0.957857143,
14-06-2023,16-06-2023,313,Badami,Chennapatna,48,255.1,67.44,78.96,96.46,600,865,265,yellow with little green,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots on A side",7.8,no,0.924354839,0.962641509,
14-06-2023,16-06-2023,314,Badami,Chennapatna,48,254.5,68.67,70.42,101.44,600,865,265,yellow with little green,"immature/mature , ripened",none,"lenticels with shoulderr development, black spots near stem",7.5,not prominent,0.924354839,0.960377358,
14-06-2023,16-06-2023,315,Badami,Chennapatna,48,261.8,70.62,75.49,93.53,600,870,270,yellow with little green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.5,not prominent,0.924354839,0.96962963,
14-06-2023,16-06-2023,316,Badami,Chennapatna,48,254.2,69.17,78.2,96.41,590,850,260,yellow with little green,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.6,no,0.924354839,0.977692308,
15-06-2023,19-06-2023,317,Badami,Chennapatna,49,264.2,64.76,75.36,99.34,560,820,260,yellow with little green,"immature/mature , ripened",damage near csallyx,"lenticels with little shoulder development, black spots near stem",7.4,yes,0.93,1.016153846,
15-06-2023,19-06-2023,318,Badami,Chennapatna,49,268.1,69.83,78.97,96.62,560,820,260,yellow,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.3,yes,0.93,1.031153846,
15-06-2023,19-06-2023,319,Badami,Chennapatna,49,256.9,68.61,74.59,98.05,560,810,250,yellow with little green,"immature/mature , ripened",none,lenticels with little shoulder development.,7.4,yes,0.93,1.0276,
15-06-2023,19-06-2023,320,Badami,Chennapatna,49,247.3,65.53,73.39,98.5,560,800,240,yellow,"immature/mature , ripened",none,lenticels with little shoulder development.,7.6,yes,0.93,1.030416667,
15-06-2023,19-06-2023,321,Badami,Chennapatna,49,244.7,67.06,73.51,94.04,550,795,245,yellow,"immature/mature , ripened",none,lenticels with little shoulder development.,7.8,not prominent,0.93,0.99877551,
15-06-2023,19-06-2023,322,Badami,Chennapatna,49,209.7,65.53,69.07,88.73,550,760,210,yellow,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",8.1,yes,0.93,0.998571429,
19-06-2023,20-06-2023,323,Badami,Chennapatna,50,263.6,69.01,80.74,97.4,530,800,270,green with yellow,"immature/mature , ripened",none,"lenticels with little shoulder development, black spots near stem",7.3,no,0.937735849,0.976296296,
