Pixel,Wavelength,Processed,Raw,Dark,Reference
0,341.78,49,939,890,
1,342.11,42.33,907,856,
2,342.44,45,888,861,
3,342.77,43.67,924,867,
4,343.1,50.67,916,869,
5,343.43,47.67,909,861,
6,343.76,48.67,911,863,
7,344.09,44,915,865,
8,344.42,47,903,869,
9,344.75,46.33,905,848,
10,345.09,52,907,859,
11,345.42,54,920,869,
12,345.75,55.67,924,861,
13,346.08,61,916,863,
14,346.41,54,928,861,
15,346.74,55.33,905,863,
16,347.07,59,928,871,
17,347.4,56.67,932,854,
18,347.73,56,915,880,
19,348.06,41.67,924,869,
20,348.4,48,896,861,
21,348.73,51,915,861,
22,349.06,53.67,920,856,
23,349.39,45.67,899,856,
24,349.72,40.67,903,873,
25,350.05,44,916,867,
26,350.38,62.33,899,846,
27,350.71,66.33,922,837,
28,351.04,70.67,930,869,
29,351.37,55.67,924,858,
30,351.71,57.33,901,861,
31,352.04,48,935,869,
32,352.37,54.33,911,873,
33,352.7,50.67,932,873,
34,353.03,48.67,913,858,
35,353.36,39.67,907,875,
36,353.69,33.67,899,867,
37,354.02,38.33,896,859,
38,354.36,42.67,909,863,
39,354.69,48,897,852,
40,355.02,47.67,894,841,
41,355.35,58,918,873,
42,355.68,64.33,943,867,
43,356.01,83.67,928,856,
44,356.34,78.33,926,823,
45,356.67,69,918,858,
46,357.01,50,915,871,
47,357.34,50,911,865,
48,357.67,49.67,918,858,
49,358,59,899,856,
50,358.33,58,922,848,
51,358.66,64.33,926,869,
52,358.99,57.33,920,858,
53,359.33,61.67,905,852,
54,359.66,63.67,924,854,
55,359.99,65,926,858,
56,360.32,60,907,850,
57,360.65,58,905,850,
58,360.98,59.33,918,856,
59,361.31,53.67,934,873,
60,361.65,45,915,877,
61,361.98,35,897,861,
62,362.31,39,894,863,
63,362.64,41.67,909,859,
64,362.97,45.33,903,859,
65,363.3,52.67,907,865,
66,363.63,55,928,856,
67,363.97,66.33,905,854,
68,364.3,58.67,935,859,
69,364.63,64.67,918,869,
70,364.96,66,934,865,
71,365.29,61.67,924,844,
