Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,827,9569,8742,
1,950.17,851.33,9505,8634,
2,951.76,869.67,9617,8761,
3,953.34,884.33,9518,8636,
4,954.92,913,9643,8728,
5,956.5,924.67,9538,8596,
6,958.08,935.67,9662,8745,
7,959.66,935.67,9575,8627,
8,961.24,954,9693,8751,
9,962.83,969,9598,8626,
10,964.41,994.33,9724,8731,
11,965.99,997,9645,8627,
12,967.57,1003.67,9738,8758,
13,969.15,1016.33,9638,8625,
14,970.73,1049.33,9788,8732,
15,972.32,1066,9701,8622,
16,973.9,1084.33,9801,8738,
17,975.48,1088.67,9733,8622,
18,977.06,1106.33,9829,8737,
19,978.64,1113.33,9739,8623,
20,980.22,1139.67,9873,8741,
21,981.81,1148.33,9806,8635,
22,983.39,1164.33,9887,8745,
23,984.97,1160.67,9813,8633,
24,986.55,1182,9911,8751,
25,988.13,1197,9842,8636,
26,989.72,1229,9958,8733,
27,991.3,1232,9881,8625,
28,992.88,1243.67,9954,8739,
29,994.46,1249,9897,8637,
30,996.04,1281.67,10015,8743,
31,997.62,1289.33,9940,8627,
32,999.21,1305.67,10020,8737,
33,1000.79,1296.33,9951,8630,
34,1002.37,1312.33,10046,8761,
35,1003.95,1313,9981,8650,
36,1005.53,1343.67,10059,8736,
37,1007.12,1344.67,9988,8611,
38,1008.7,1362.67,10079,8745,
39,1010.28,1351.33,10014,8637,
40,1011.86,1368.33,10092,8749,
41,1013.44,1371,10019,8634,
42,1015.02,1395.33,10129,8744,
43,1016.6,1391,10033,8617,
44,1018.19,1400.67,10126,8754,
45,1019.77,1399.67,10047,8633,
46,1021.35,1425,10151,8738,
47,1022.93,1429,10067,8619,
48,1024.51,1449,10166,8740,
49,1026.09,1438.67,10108,8635,
50,1027.68,1446.33,10166,8749,
51,1029.26,1435,10085,8636,
52,1030.84,1462,10174,8735,
53,1032.42,1466.67,10113,8615,
54,1034,1491,10210,8747,
55,1035.58,1475.33,10155,8643,
56,1037.16,1490,10214,8763,
57,1038.74,1483.33,10133,8626,
58,1040.32,1517.67,10234,8742,
59,1041.91,1512,10175,8621,
60,1043.49,1533,10242,8752,
61,1045.07,1511.67,10191,8636,
62,1046.65,1531.33,10241,8751,
63,1048.23,1528.33,10177,8628,
64,1049.81,1564.67,10295,8749,
65,1051.39,1557,10222,8623,
66,1052.97,1574.67,10286,8760,
67,1054.55,1563,10231,8632,
68,1056.13,1603.33,10288,8724,
69,1057.71,1598.33,10259,8612,
70,1059.29,1626,10335,8751,
71,1060.87,1599.67,10283,8636,
72,1062.45,1620.67,10321,8753,
73,1064.03,1613,10274,8627,
74,1065.61,1657,10364,8740,
75,1067.19,1650,10326,8626,
76,1068.77,1681.33,10383,8757,
77,1070.35,1663.33,10343,8625,
78,1071.93,1692.67,10407,8761,
79,1073.51,1684.67,10352,8638,
80,1075.09,1729.33,10432,8738,
81,1076.67,1722.33,10392,8612,
82,1078.25,1750,10459,8766,
83,1079.83,1726.67,10420,8643,
84,1081.41,1772.33,10474,8764,
85,1082.99,1764.67,10462,8632,
86,1084.57,1818,10502,8748,
87,1086.15,1786,10485,8615,
88,1087.72,1823,10498,8764,
89,1089.3,1798.33,10501,8636,
90,1090.88,1847.33,10529,8733,
91,1092.46,1830.67,10493,8612,
92,1094.04,1876,10577,8762,
93,1095.62,1854.33,10573,8641,
94,1097.2,1888.67,10583,8767,
95,1098.77,1860.33,10551,8633,
96,1100.35,1916.33,10603,8756,
97,1101.93,1890.33,10604,8620,
98,1103.51,1925.67,10604,8764,
99,1105.09,1877.33,10593,8640,
100,1106.66,1922,10595,8756,
101,1108.24,1898,10603,8629,
102,1109.82,1953.67,10638,8757,
103,1111.4,1902.67,10644,8638,
104,1112.97,1934.33,10589,8768,
105,1114.55,1876.33,10600,8624,
106,1116.13,1915,10605,8773,
107,1117.7,1863.33,10568,8631,
108,1119.28,1896.67,10576,8755,
109,1120.86,1833.67,10554,8622,
110,1122.43,1844.67,10520,8772,
111,1124.01,1766.67,10485,8631,
112,1125.59,1794.67,10446,8748,
113,1127.16,1725.33,10447,8615,
114,1128.74,1741.67,10410,8764,
115,1130.31,1655.33,10383,8636,
116,1131.89,1667,10332,8759,
117,1133.46,1598.33,10316,8635,
118,1135.04,1632,10284,8743,
119,1136.61,1568.67,10291,8617,
120,1138.19,1599.67,10250,8759,
121,1139.76,1545.33,10266,8632,
122,1141.34,1596.67,10262,8751,
123,1142.91,1564,10270,8625,
124,1144.49,1633.67,10310,8774,
125,1146.06,1615.67,10350,8630,
126,1147.64,1696.67,10346,8755,
127,1149.21,1680,10416,8637,
128,1150.78,1774.33,10422,8752,
129,1152.36,1758,10487,8613,
130,1153.93,1841,10500,8770,
131,1155.51,1799.67,10544,8625,
132,1157.08,1867.67,10519,8769,
133,1158.65,1825.33,10568,8634,
134,1160.22,1899.67,10548,8756,
135,1161.8,1842.67,10593,8620,
136,1163.37,1900.67,10546,8783,
137,1164.94,1833.67,10599,8633,
138,1166.51,1896.67,10545,8773,
139,1168.09,1828.33,10558,8606,
140,1169.66,1887.33,10514,8753,
141,1171.23,1809.33,10573,8624,
142,1172.8,1856.33,10494,8776,
143,1174.37,1775.67,10547,8645,
144,1175.94,1840.67,10462,8755,
145,1177.51,1782.67,10530,8617,
146,1179.09,1851.67,10499,8771,
147,1180.66,1783,10553,8639,
148,1182.23,1849,10485,8778,
149,1183.8,1797.33,10547,8621,
150,1185.37,1873.33,10513,8754,
151,1186.94,1809.67,10570,8635,
152,1188.51,1875.33,10507,8772,
153,1190.08,1820.33,10588,8632,
154,1191.65,1895.33,10540,8770,
155,1193.21,1842.33,10606,8646,
156,1194.78,1928,10551,8754,
157,1196.35,1881.67,10643,8616,
158,1197.92,1953.33,10586,8765,
159,1199.49,1888,10652,8640,
160,1201.06,1966,10592,8761,
161,1202.62,1915.67,10679,8624,
162,1204.19,1997.33,10628,8767,
163,1205.76,1936,10711,8635,
164,1207.33,2007.67,10656,8785,
165,1208.89,1951.67,10742,8666,
166,1210.46,2029.33,10665,8757,
167,1212.03,1976,10740,8636,
168,1213.59,2056.33,10693,8777,
169,1215.16,2010,10801,8652,
170,1216.73,2099,10738,8773,
171,1218.29,2058.67,10823,8640,
172,1219.86,2151.33,10803,8775,
173,1221.42,2108,10882,8639,
174,1222.99,2190,10837,8784,
175,1224.55,2137,10922,8648,
176,1226.12,2215.33,10857,8773,
177,1227.68,2164.67,10937,8649,
178,1229.25,2247,10900,8778,
179,1230.81,2195,10969,8638,
180,1232.37,2265.67,10912,8780,
181,1233.94,2210.33,10979,8645,
182,1235.5,2291,10933,8768,
183,1237.06,2236,10998,8624,
184,1238.63,2314.67,10939,8770,
185,1240.19,2255.33,11041,8640,
186,1241.75,2326.67,10988,8792,
187,1243.31,2270.33,11032,8649,
188,1244.88,2349,11004,8772,
189,1246.44,2317,11068,8636,
190,1248,2385.67,11069,8782,
191,1249.56,2339.67,11087,8649,
192,1251.12,2402.67,11048,8754,
193,1252.68,2365.67,11118,8642,
194,1254.24,2433.67,11100,8773,
195,1255.8,2384,11137,8639,
196,1257.36,2445.67,11124,8797,
197,1258.92,2409.67,11176,8664,
198,1260.48,2475,11158,8768,
199,1262.04,2440.67,11172,8649,
200,1263.6,2498.33,11187,8778,
201,1265.16,2466,11239,8676,
202,1266.71,2516,11218,8792,
203,1268.27,2480.67,11232,8673,
204,1269.83,2531.33,11221,8764,
205,1271.39,2500.33,11235,8657,
206,1272.94,2545.67,11249,8783,
207,1274.5,2513,11251,8658,
208,1276.06,2557.67,11252,8772,
209,1277.61,2530.33,11258,8658,
210,1279.17,2570,11286,8775,
211,1280.73,2536,11255,8656,
212,1282.28,2572.33,11293,8795,
213,1283.84,2558,11295,8675,
214,1285.39,2598.33,11313,8757,
215,1286.95,2577.33,11268,8649,
216,1288.5,2609.33,11341,8784,
217,1290.05,2598.67,11309,8657,
218,1291.61,2624,11371,8784,
219,1293.16,2593.67,11292,8659,
220,1294.71,2608.67,11338,8777,
221,1296.27,2605.67,11303,8671,
222,1297.82,2640.33,11402,8778,
223,1299.37,2641.67,11328,8663,
224,1300.92,2659,11422,8786,
225,1302.47,2663,11341,8665,
226,1304.03,2677.33,11445,8768,
227,1305.58,2673.67,11334,8655,
228,1307.13,2677.33,11454,8789,
229,1308.68,2673.33,11368,8680,
230,1310.23,2678,11431,8764,
231,1311.78,2680.67,11334,8655,
232,1313.33,2689.67,11468,8772,
233,1314.88,2685,11358,8664,
234,1316.43,2677,11451,8786,
235,1317.97,2673.33,11357,8685,
236,1319.52,2677.67,11441,8758,
237,1321.07,2685.33,11332,8654,
238,1322.62,2679,11475,8780,
239,1324.17,2680,11324,8660,
240,1325.71,2670.67,11439,8758,
241,1327.26,2682.67,11335,8668,
242,1328.81,2669.67,11463,8763,
243,1330.35,2675.33,11287,8645,
244,1331.9,2648,11452,8768,
245,1333.44,2653,11291,8673,
246,1334.99,2607.67,11426,8769,
247,1336.53,2622,11225,8677,
248,1338.08,2592.33,11414,8753,
249,1339.62,2614.67,11235,8667,
250,1341.16,2555,11377,8762,
251,1342.71,2545.33,11159,8677,
252,1344.25,2488,11319,8780,
253,1345.79,2501.33,11111,8668,
254,1347.33,2448.67,11284,8762,
255,1348.88,2447,11041,8660,
256,1350.42,2375.67,11207,8769,
257,1351.96,2380,10988,8680,
258,1353.5,2313.67,11166,8772,
259,1355.04,2324.33,10903,8664,
260,1356.58,2258,11111,8771,
261,1358.12,2265.33,10865,8670,
262,1359.66,2185.67,11034,8773,
263,1361.2,2201,10792,8691,
264,1362.74,2151,10980,8739,
265,1364.28,2183.67,10776,8665,
266,1365.81,2117,10974,8775,
267,1367.35,2128,10713,8672,
268,1368.89,2067.33,10916,8772,
269,1370.43,2097.67,10689,8672,
270,1371.96,2031,10887,8755,
271,1373.5,2040.33,10602,8658,
272,1375.03,1963.67,10814,8769,
273,1376.57,1969.33,10572,8670,
274,1378.1,1877.33,10704,8743,
275,1379.64,1876,10426,8657,
276,1381.17,1819.33,10654,8756,
277,1382.71,1870.67,10506,8715,
278,1384.24,1820.67,10682,8759,
279,1385.77,1854.33,10430,8682,
280,1387.31,1796.33,10640,8748,
281,1388.84,1833.33,10408,8659,
282,1390.37,1767,10627,8768,
283,1391.9,1783.67,10378,8685,
284,1393.43,1718.67,10570,8771,
285,1394.96,1760.33,10340,8676,
286,1396.49,1702,10561,8743,
