Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,367,9109,8742,
1,950.17,383.33,9020,8634,
2,951.76,402.33,9158,8761,
3,953.34,410.67,9060,8636,
4,954.92,422.33,9139,8728,
5,956.5,418.67,9028,8596,
6,958.08,425,9158,8745,
7,959.66,429.33,9057,8627,
8,961.24,444,9196,8751,
9,962.83,444.67,9083,8626,
10,964.41,448,9163,8731,
11,965.99,445.67,9082,8627,
12,967.57,459.67,9208,8758,
13,969.15,471.67,9099,8625,
14,970.73,489,9223,8732,
15,972.32,491.33,9124,8622,
16,973.9,491,9219,8738,
17,975.48,495,9112,8622,
18,977.06,513.33,9251,8737,
19,978.64,518,9159,8623,
20,980.22,523,9245,8741,
21,981.81,517.33,9164,8635,
22,983.39,526.67,9264,8745,
23,984.97,529.67,9165,8633,
24,986.55,543.33,9289,8751,
25,988.13,546.67,9196,8636,
26,989.72,553.33,9275,8733,
27,991.3,554,9183,8625,
28,992.88,568,9301,8739,
29,994.46,576.67,9221,8637,
30,996.04,590,9327,8743,
31,997.62,584.67,9229,8627,
32,999.21,584.67,9305,8737,
33,1000.79,577,9214,8630,
34,1002.37,588.67,9340,8761,
35,1003.95,590.33,9253,8650,
36,1005.53,604.67,9325,8736,
37,1007.12,604.67,9233,8611,
38,1008.7,611,9348,8745,
39,1010.28,610.67,9245,8637,
40,1011.86,624,9370,8749,
41,1013.44,628.67,9277,8634,
42,1015.02,631.33,9366,8744,
43,1016.6,624.67,9246,8617,
44,1018.19,632,9377,8754,
45,1019.77,637,9277,8633,
46,1021.35,651.67,9382,8738,
47,1022.93,647.67,9286,8619,
48,1024.51,654.33,9372,8740,
49,1026.09,645.67,9299,8635,
50,1027.68,654.67,9390,8749,
51,1029.26,652.33,9295,8636,
52,1030.84,668.33,9392,8735,
53,1032.42,666.33,9304,8615,
54,1034,668.33,9400,8747,
55,1035.58,660,9306,8643,
56,1037.16,674.33,9427,8763,
57,1038.74,678.33,9322,8626,
58,1040.32,692.67,9417,8742,
59,1041.91,683.33,9328,8621,
60,1043.49,692.33,9420,8752,
61,1045.07,688.33,9338,8636,
62,1046.65,703.67,9446,8751,
63,1048.23,699.67,9342,8628,
64,1049.81,705.33,9439,8749,
65,1051.39,695.67,9335,8623,
66,1052.97,707.33,9445,8760,
67,1054.55,715.33,9357,8632,
68,1056.13,741.67,9460,8724,
69,1057.71,735,9376,8612,
70,1059.29,733.67,9456,8751,
71,1060.87,715.67,9368,8636,
72,1062.45,733,9463,8753,
73,1064.03,735.33,9384,8627,
74,1065.61,759.33,9479,8740,
75,1067.19,745,9408,8626,
76,1068.77,755.33,9471,8757,
77,1070.35,742,9395,8625,
78,1071.93,768,9503,8761,
79,1073.51,763.33,9430,8638,
80,1075.09,785,9494,8738,
81,1076.67,774,9419,8612,
82,1078.25,793.33,9525,8766,
83,1079.83,781.33,9457,8643,
84,1081.41,807.33,9535,8764,
85,1082.99,797.67,9469,8632,
86,1084.57,820,9533,8748,
87,1086.15,802,9453,8615,
88,1087.72,823.67,9547,8764,
89,1089.3,816.67,9486,8636,
90,1090.88,841.33,9550,8733,
91,1092.46,822.33,9469,8612,
92,1094.04,837.67,9555,8762,
93,1095.62,822.67,9504,8641,
94,1097.2,851,9579,8767,
95,1098.77,835.33,9511,8633,
96,1100.35,865.33,9572,8756,
97,1101.93,844.67,9522,8620,
98,1103.51,864,9580,8764,
99,1105.09,839.33,9514,8640,
100,1106.66,867.67,9584,8756,
101,1108.24,850.67,9530,8629,
102,1109.82,873.67,9580,8757,
103,1111.4,840.67,9535,8638,
104,1112.97,863,9570,8768,
105,1114.55,836.33,9514,8624,
106,1116.13,863.67,9590,8773,
107,1117.7,834,9515,8631,
108,1119.28,850.33,9556,8755,
109,1120.86,814.33,9488,8622,
110,1122.43,824.33,9548,8772,
111,1124.01,789,9462,8631,
112,1125.59,807.67,9508,8748,
113,1127.16,768.33,9447,8615,
114,1128.74,772,9477,8764,
115,1130.31,728.67,9407,8636,
116,1131.89,748,9461,8759,
117,1133.46,714.33,9406,8635,
118,1135.04,726.33,9413,8743,
119,1136.61,684,9355,8617,
120,1138.19,701.33,9403,8759,
121,1139.76,679,9354,8632,
122,1141.34,712.67,9422,8751,
123,1142.91,694.67,9370,8625,
124,1144.49,723.67,9442,8774,
125,1146.06,706.67,9388,8630,
126,1147.64,753,9449,8755,
127,1149.21,743.33,9444,8637,
128,1150.78,795.67,9481,8752,
129,1152.36,778,9464,8613,
130,1153.93,819,9524,8770,
131,1155.51,794.67,9477,8625,
132,1157.08,834.33,9547,8769,
133,1158.65,813,9507,8634,
134,1160.22,853,9544,8756,
135,1161.8,813,9518,8620,
136,1163.37,843,9536,8783,
137,1164.94,805.67,9511,8633,
138,1166.51,853,9559,8773,
139,1168.09,816,9501,8606,
140,1169.66,845.33,9520,8753,
141,1171.23,792.67,9498,8624,
142,1172.8,819,9513,8776,
143,1174.37,783.33,9491,8645,
144,1175.94,827.33,9522,8755,
145,1177.51,790.67,9486,8617,
146,1179.09,812,9507,8771,
147,1180.66,772.33,9470,8639,
148,1182.23,820.67,9528,8778,
149,1183.8,802.33,9502,8621,
150,1185.37,844,9530,8754,
151,1186.94,800.67,9510,8635,
152,1188.51,828,9523,8772,
153,1190.08,798.33,9490,8632,
154,1191.65,845.67,9556,8770,
155,1193.21,816.67,9539,8646,
156,1194.78,856.33,9525,8754,
157,1196.35,824.67,9521,8616,
158,1197.92,865.67,9563,8765,
159,1199.49,838,9534,8640,
160,1201.06,884,9583,8761,
161,1202.62,853.33,9560,8624,
162,1204.19,887,9569,8767,
163,1205.76,846.33,9558,8635,
164,1207.33,886.67,9599,8785,
165,1208.89,858.67,9589,8666,
166,1210.46,909.33,9596,8757,
167,1212.03,874,9602,8636,
168,1213.59,911,9594,8777,
169,1215.16,876.67,9602,8652,
170,1216.73,930.67,9636,8773,
171,1218.29,911.33,9619,8640,
172,1219.86,961.33,9667,8775,
173,1221.42,931,9652,8639,
174,1222.99,970.33,9672,8784,
175,1224.55,939.67,9658,8648,
176,1226.12,991.33,9694,8773,
177,1227.68,963.67,9692,8649,
178,1229.25,1002.33,9705,8778,
179,1230.81,964.33,9675,8638,
180,1232.37,1001,9709,8780,
181,1233.94,971.33,9682,8645,
182,1235.5,1023.33,9716,8768,
183,1237.06,995.33,9709,8624,
184,1238.63,1036.33,9723,8770,
185,1240.19,993.33,9711,8640,
186,1241.75,1031.67,9748,8792,
187,1243.31,1001,9717,8649,
188,1244.88,1049.33,9751,8772,
189,1246.44,1022.67,9737,8636,
190,1248,1055,9770,8782,
191,1249.56,1027.67,9725,8649,
192,1251.12,1073.67,9773,8754,
193,1252.68,1053.67,9768,8642,
194,1254.24,1082.33,9789,8773,
195,1255.8,1043.33,9744,8639,
196,1257.36,1076.33,9806,8797,
197,1258.92,1064.67,9779,8664,
198,1260.48,1114.33,9838,8768,
199,1262.04,1093,9807,8649,
200,1263.6,1118,9829,8778,
201,1265.16,1088,9821,8676,
202,1266.71,1117,9860,8792,
203,1268.27,1101,9811,8673,
204,1269.83,1134.67,9861,8764,
205,1271.39,1116.67,9826,8657,
206,1272.94,1135.33,9867,8783,
207,1274.5,1111,9811,8658,
208,1276.06,1139.33,9868,8772,
209,1277.61,1125,9827,8658,
210,1279.17,1148,9885,8775,
211,1280.73,1123,9821,8656,
212,1282.28,1143.67,9889,8795,
213,1283.84,1136.67,9847,8675,
214,1285.39,1168.33,9901,8757,
215,1286.95,1154.67,9838,8649,
216,1288.5,1167.67,9915,8784,
217,1290.05,1147.33,9840,8657,
218,1291.61,1159.33,9912,8784,
219,1293.16,1151,9826,8659,
220,1294.71,1174,9935,8777,
221,1296.27,1167.33,9868,8671,
222,1297.82,1175.67,9925,8778,
223,1299.37,1170,9846,8663,
224,1300.92,1188.33,9966,8786,
225,1302.47,1195.67,9867,8665,
226,1304.03,1207.33,9973,8768,
227,1305.58,1193.33,9870,8655,
228,1307.13,1183.33,9949,8789,
229,1308.68,1177.33,9855,8680,
230,1310.23,1196,9961,8764,
231,1311.78,1200,9871,8655,
232,1313.33,1205.33,9959,8772,
233,1314.88,1190.67,9877,8664,
234,1316.43,1183.67,9958,8786,
235,1317.97,1187.67,9851,8685,
236,1319.52,1201.33,9983,8758,
237,1321.07,1212.67,9867,8654,
238,1322.62,1198.67,9980,8780,
239,1324.17,1190,9843,8660,
240,1325.71,1182.33,9945,8758,
241,1327.26,1193.33,9845,8668,
242,1328.81,1195.33,9979,8763,
243,1330.35,1196.67,9838,8645,
244,1331.9,1176,9949,8768,
245,1333.44,1181,9827,8673,
246,1334.99,1166.33,9977,8769,
247,1336.53,1178.33,9814,8677,
248,1338.08,1157,9943,8753,
249,1339.62,1161.33,9811,8667,
250,1341.16,1126.67,9912,8762,
251,1342.71,1128.33,9763,8677,
252,1344.25,1113.67,9929,8780,
253,1345.79,1126.67,9774,8668,
254,1347.33,1094.67,9887,8762,
255,1348.88,1083.33,9713,8660,
256,1350.42,1044,9841,8769,
257,1351.96,1055.67,9687,8680,
258,1353.5,1034,9860,8772,
259,1355.04,1043.33,9671,8664,
260,1356.58,995.67,9806,8771,
261,1358.12,1000,9615,8670,
262,1359.66,966.33,9793,8773,
263,1361.2,991,9625,8691,
264,1362.74,960,9758,8739,
265,1364.28,972.33,9592,8665,
266,1365.81,929,9746,8775,
267,1367.35,935.67,9561,8672,
268,1368.89,907.33,9719,8772,
269,1370.43,932.33,9558,8672,
270,1371.96,904,9719,8755,
271,1373.5,907.33,9520,8658,
272,1375.03,861.33,9665,8769,
273,1376.57,870.33,9496,8670,
274,1378.1,835.67,9632,8743,
275,1379.64,836.67,9449,8657,
276,1381.17,802.33,9585,8756,
277,1382.71,821,9501,8715,
278,1384.24,797,9607,8759,
279,1385.77,820.67,9439,8682,
280,1387.31,798,9605,8748,
281,1388.84,818.67,9439,8659,
282,1390.37,774.33,9587,8768,
283,1391.9,782.33,9409,8685,
284,1393.43,756,9575,8771,
285,1394.96,784.67,9416,8676,
286,1396.49,754.67,9553,8743,
287,1398.02,762.33,9377,8663,
288,1399.55,721.33,9532,8769,
289,1401.08,740.67,9358,8671,
290,1402.61,713,9520,8748,
291,1404.14,728.33,9350,8670,
292,1405.67,691,9496,8763,
293,1407.2,704.33,9332,8672,
294,1408.72,675.33,9484,8764,
295,1410.25,692.33,9307,8661,
296,1411.78,670.33,9459,8748,
297,1413.3,684,9305,8651,
298,1414.83,650.33,9451,8764,
299,1416.35,662,9292,8682,
300,1417.88,642.33,9458,8769,
301,1419.4,675.33,9311,8683,
302,1420.92,661.33,9464,8755,
303,1422.45,680.33,9304,8657,
304,1423.97,649,9457,8772,
305,1425.49,669.67,9293,8678,
306,1427.02,656.67,9475,8766,
307,1428.54,686.67,9305,8659,
308,1430.06,670,9471,8766,
309,1431.58,686.33,9325,8666,
310,1433.1,662.67,9469,8774,
311,1434.62,683,9292,8658,
312,1436.14,676.67,9455,8735,
313,1437.66,709.33,9324,8648,
314,1439.18,693.67,9490,8758,
315,1440.7,708,9340,8667,
316,1442.21,687.67,9472,8753,
317,1443.73,715,9345,8674,
318,1445.25,714,9510,8755,
319,1446.76,738.67,9375,8659,
