Pixel,Wavelength,Processed,Raw,Dark,Reference
0,341.78,-8,882,890,
1,342.11,17.33,897,856,
2,342.44,28.33,880,861,
3,342.77,21.67,892,867,
4,343.1,23,890,869,
5,343.43,21.67,884,861,
6,343.76,27.33,884,863,
7,344.09,19,903,865,
8,344.42,28,867,869,
9,344.75,22.33,896,848,
10,345.09,29.33,880,859,
11,345.42,27.33,888,869,
12,345.75,11,903,861,
13,346.08,14.33,835,863,
14,346.41,8,890,861,
15,346.74,16,886,863,
16,347.07,10,867,871,
17,347.4,3,865,854,
18,347.73,3,882,880,
19,348.06,9,865,869,
20,348.4,26.33,890,861,
21,348.73,35.67,915,861,
22,349.06,35.33,880,856,
23,349.39,17.33,884,856,
24,349.72,13.67,873,873,
25,350.05,18.33,880,867,
26,350.38,41.67,888,846,
27,350.71,40,907,837,
28,351.04,31,877,869,
29,351.37,12.33,873,858,
30,351.71,12.33,875,861,
31,352.04,19.33,877,869,
32,352.37,20.33,909,873,
33,352.7,27,890,873,
34,353.03,22.33,886,858,
35,353.36,25.67,897,875,
36,353.69,23.33,894,867,
37,354.02,28,880,859,
38,354.36,32.33,899,863,
39,354.69,37.33,892,852,
40,355.02,26,877,841,
41,355.35,21.67,875,873,
42,355.68,19,894,867,
43,356.01,34.33,884,856,
44,356.34,36,871,823,
45,356.67,33,890,858,
46,357.01,23.33,890,871,
47,357.34,23.33,884,865,
48,357.67,33.33,890,858,
49,358,41.67,905,856,
50,358.33,36,892,848,
51,358.66,25.33,884,869,
52,358.99,14.33,875,858,
53,359.33,22,863,852,
54,359.66,20,892,854,
55,359.99,27.67,869,858,
56,360.32,25,884,850,
57,360.65,37,880,850,
58,360.98,32,903,856,
59,361.31,18,892,873,
60,361.65,12.67,865,877,
61,361.98,17.67,892,861,
62,362.31,32,897,863,
63,362.64,27.67,890,859,
64,362.97,21.33,877,859,
65,363.3,16,880,865,
66,363.63,17,871,856,
67,363.97,24.33,875,854,
68,364.3,18.67,896,859,
69,364.63,21.33,867,869,
70,364.96,25,894,865,
71,365.29,34,892,844,
72,365.62,33.33,894,869,
73,365.95,24.67,892,865,
74,366.29,25.67,878,856,
75,366.62,18,882,854,
76,366.95,24,875,871,
77,367.28,24,899,859,
78,367.61,34.67,884,856,
79,367.94,31,903,867,
80,368.28,35.33,892,863,
81,368.61,42,897,856,
82,368.94,34.33,915,859,
83,369.27,36.67,875,869,
84,369.6,23.67,892,844,
85,369.93,21,882,865,
86,370.27,15,884,886,
87,370.6,18,882,852,
88,370.93,20.33,884,858,
89,371.26,16.67,880,875,
90,371.59,19.67,878,859,
91,371.92,30,894,859,
92,372.26,44,890,854,
93,372.59,39.67,911,850,
94,372.92,34.67,880,858,
95,373.25,20,884,863,
96,373.58,12,880,863,
97,373.92,18.33,875,877,
98,374.25,17.33,882,842,
99,374.58,13.33,877,863,
100,374.91,12.67,878,892,
101,375.24,31.33,890,852,
102,375.57,43.67,892,822,
103,375.91,39.33,896,873,
104,376.24,37.67,890,865,
105,376.57,44,913,848,
106,376.9,36.33,888,846,
107,377.23,31,867,865,
108,377.57,32,890,841,
109,377.9,36.33,901,856,
110,378.23,22.67,871,856,
111,378.56,19.67,873,865,
112,378.89,20.33,897,861,
113,379.23,25,901,884,
114,379.56,30.67,878,856,
115,379.89,40,903,850,
116,380.22,33,897,852,
117,380.55,26,878,877,
118,380.89,26.67,882,850,
119,381.22,34.67,901,854,
120,381.55,32.33,888,863,
121,381.88,31.33,888,863,
122,382.21,31.33,890,846,
123,382.55,29,890,865,
124,382.88,15.67,877,859,
125,383.21,16.67,865,861,
126,383.54,16.33,897,869,
127,383.87,34,884,867,
128,384.21,41.67,905,848,
129,384.54,31,903,852,
130,384.87,16.33,888,903,
131,385.2,14.67,878,865,
132,385.53,25.33,896,850,
133,385.87,27,873,856,
134,386.2,23.33,877,859,
135,386.53,27.33,896,861,
136,386.86,22,888,859,
137,387.19,12.33,877,875,
138,387.53,24.33,875,869,
139,387.86,39.67,926,861,
140,388.19,48.33,896,848,
141,388.52,34.67,878,846,
142,388.86,21.67,880,856,
143,389.19,12.67,899,890,
144,389.52,18.67,880,875,
145,389.85,31.67,877,835,
146,390.18,31.67,873,825,
147,390.52,23.33,861,856,
148,390.85,17.33,886,869,
149,391.18,20.67,878,848,
150,391.51,19.67,882,867,
151,391.84,21.67,896,882,
152,392.18,31,894,858,
153,392.51,29,897,854,
154,392.84,29.67,873,865,
155,393.17,26,890,852,
156,393.51,31.67,897,865,
157,393.84,19,888,863,
158,394.17,23,871,871,
159,394.5,32.33,890,846,
160,394.84,34,890,837,
161,395.17,29,880,875,
162,395.5,27.67,894,865,
163,395.83,33,897,848,
164,396.16,27.67,888,867,
165,396.5,19,888,875,
166,396.83,23,886,863,
167,397.16,26.33,892,859,
168,397.49,27.67,890,867,
169,397.83,16,892,865,
170,398.16,14.67,867,869,
171,398.49,19.33,880,861,
172,398.82,38.33,897,856,
173,399.16,44,911,856,
174,399.49,32.33,880,844,
175,399.82,29,877,871,
176,400.15,25,901,856,
177,400.49,33,880,856,
178,400.82,25,905,875,
179,401.15,39,899,878,
180,401.48,30.33,905,839,
181,401.82,30.33,877,873,
182,402.15,18.67,888,867,
183,402.48,20,896,865,
184,402.81,22.67,869,861,
185,403.14,30.67,890,861,
186,403.48,40.67,899,844,
187,403.81,31,897,859,
188,404.14,21.67,865,865,
189,404.47,23.67,886,859,
190,404.81,34,894,850,
191,405.14,30.67,894,863,
192,405.47,28.33,892,875,
193,405.8,26.33,896,859,
194,406.14,25.33,884,859,
195,406.47,20.67,877,863,
196,406.8,23.67,896,873,
197,407.13,26.33,884,850,
198,407.47,36.33,880,858,
199,407.8,41,907,854,
200,408.13,40.67,894,846,
201,408.47,33.33,877,856,
202,408.8,28,890,859,
203,409.13,29.33,903,871,
204,409.46,22.67,886,861,
205,409.8,16.33,878,867,
206,410.13,16.33,884,871,
207,410.46,27.33,894,869,
208,410.79,27.33,894,850,
209,411.13,34.33,890,877,
210,411.46,29.67,909,863,
211,411.79,35.67,886,856,
212,412.12,33.67,877,846,
213,412.46,39.67,890,850,
214,412.79,38.33,890,842,
215,413.12,34.67,886,859,
216,413.45,24.33,894,865,
217,413.79,31.33,890,873,
218,414.12,29.33,907,859,
219,414.45,28.67,884,861,
220,414.78,26,888,873,
221,415.12,35,888,848,
222,415.45,37.67,892,842,
223,415.78,37,896,873,
224,416.12,29.33,897,859,
225,416.45,35,873,846,
226,416.78,31.33,901,861,
227,417.11,42,875,848,
228,417.45,35.67,911,852,
229,417.78,42,890,869,
230,418.11,33.33,909,863,
231,418.44,32.67,894,861,
232,418.78,27.33,886,867,
233,419.11,26.67,901,871,
234,419.44,33,890,859,
235,419.78,31,886,848,
236,420.11,22.33,897,873,
237,420.44,21,882,877,
238,420.77,23.33,880,846,
239,421.11,26.33,875,844,
240,421.44,25.67,873,859,
241,421.77,23.67,905,873,
242,422.1,29,886,861,
243,422.44,29.67,899,869,
244,422.77,30,899,865,
245,423.1,38.33,882,856,
246,423.44,41.33,905,850,
247,423.77,41.33,899,856,
248,424.1,36.33,882,856,
249,424.43,26.33,903,863,
250,424.77,26.67,886,873,
251,425.1,24,877,850,
252,425.43,29.67,873,841,
253,425.76,51.67,897,867,
254,426.1,51,907,814,
255,426.43,63.67,880,850,
256,426.76,46.33,903,835,
257,427.1,45.33,916,875,
258,427.43,27.67,890,863,
259,427.76,26,865,850,
260,428.09,29,892,856,
261,428.43,35,897,861,
262,428.76,34.67,892,859,
263,429.09,34.33,896,861,
264,429.43,40.33,877,842,
265,429.76,47,901,850,
266,430.09,41.67,907,852,
267,430.42,38,886,867,
268,430.76,40.67,896,856,
269,431.09,47,911,848,
270,431.42,40,896,858,
271,431.76,31,892,873,
272,432.09,35.33,888,852,
273,432.42,38.33,903,852,
274,432.75,35.67,905,877,
275,433.09,35.67,882,854,
276,433.42,38.33,903,852,
277,433.75,46.33,899,863,
278,434.09,44.33,896,844,
279,434.42,52,901,856,
280,434.75,47.33,915,856,
281,435.09,39.33,899,861,
282,435.42,31.67,880,859,
283,435.75,30.67,888,852,
284,436.08,36.33,896,861,
285,436.42,41.33,903,865,
286,436.75,44.33,897,846,
287,437.08,35,905,861,
288,437.42,26.67,890,880,
289,437.75,29.67,897,871,
290,438.08,44.67,907,854,
291,438.41,54.33,907,852,
292,438.75,56,894,839,
293,439.08,53,916,858,
294,439.41,53.67,907,861,
295,439.75,50.33,916,859,
296,440.08,57.33,911,863,
297,440.41,49.33,928,861,
298,440.74,46,892,859,
299,441.08,47,897,859,
300,441.41,48,916,846,
301,441.74,55,913,877,
302,442.08,53.33,920,861,
303,442.41,61,909,844,
304,442.74,58,920,861,
305,443.08,49.67,911,861,
306,443.41,53.33,886,846,
307,443.74,58,924,854,
308,444.07,65,922,858,
309,444.41,56.33,911,850,
310,444.74,51,905,861,
311,445.07,41,915,867,
312,445.41,47,896,865,
313,445.74,32.67,903,841,
314,446.07,32.67,916,911,
315,446.41,23.33,909,878,
316,446.74,43.67,892,858,
317,447.07,44.33,920,854,
318,447.4,55.33,892,859,
319,447.74,60.67,926,859,
320,448.07,68,930,848,
321,448.4,61.33,924,869,
322,448.74,49.33,905,858,
323,449.07,45.33,905,859,
324,449.4,51,920,877,
325,449.74,58.33,922,858,
326,450.07,68,918,850,
327,450.4,62.67,937,865,
328,450.73,56,928,880,
329,451.07,59.33,909,861,
330,451.4,64.33,913,831,
331,451.73,65.67,915,852,
332,452.07,53.67,915,863,
333,452.4,52.33,896,850,
334,452.73,52,907,848,
335,453.07,61.67,920,869,
336,453.4,62.67,934,859,
337,453.73,67.33,918,856,
338,454.06,58,928,863,
339,454.4,55.67,916,869,
340,454.73,50,907,852,
341,455.06,50.67,909,861,
342,455.4,49,918,869,
343,455.73,56.33,915,865,
344,456.06,55.33,918,848,
345,456.4,49,913,867,
346,456.73,51.67,896,865,
347,457.06,54,915,837,
348,457.4,58.67,911,858,
349,457.73,54.33,920,875,
350,458.06,62.67,928,863,
351,458.39,64,937,859,
352,458.73,60.67,903,854,
353,459.06,56.67,913,858,
354,459.39,54.33,924,858,
355,459.73,55.33,911,869,
356,460.06,54.33,916,858,
357,460.39,62.67,913,850,
358,460.73,56,928,861,
359,461.06,59,915,877,
360,461.39,58.33,926,854,
361,461.73,70,924,859,
362,462.06,60,932,859,
363,462.39,58,920,878,
364,462.72,59.67,915,856,
365,463.06,62,915,837,
366,463.39,64,905,856,
367,463.72,62.33,932,867,
368,464.06,58.33,934,861,
369,464.39,59.67,915,878,
370,464.72,60,915,846,
371,465.06,68.33,932,858,
372,465.39,65,920,858,
373,465.72,62.33,928,869,
374,466.06,70,918,852,
375,466.39,63.67,941,856,
376,466.72,63.33,896,856,
377,467.05,62.67,926,861,
378,467.39,68.33,935,852,
379,467.72,63.67,916,859,
380,468.05,55.67,920,869,
381,468.39,58.33,915,856,
382,468.72,66.67,924,859,
383,469.05,73.67,945,869,
384,469.39,83.67,924,844,
385,469.72,74,943,848,
386,470.05,62.33,922,875,
387,470.38,57.33,922,877,
388,470.72,58.67,930,850,
389,471.05,59.33,926,875,
390,471.38,53.67,935,888,
391,471.72,62.67,924,861,
392,472.05,65.33,928,850,
393,472.38,54.33,913,858,
394,472.72,53,899,869,
395,473.05,54.67,924,850,
396,473.38,71.33,918,858,
397,473.72,79.67,934,854,
398,474.05,88.67,941,842,
399,474.38,76.33,937,850,
400,474.71,68,916,873,
401,475.05,62,935,861,
402,475.38,64.67,928,859,
403,475.71,52,918,867,
404,476.05,54.33,903,867,
405,476.38,50,920,844,
406,476.71,69,913,875,
407,477.05,62.67,949,856,
408,477.38,74.67,920,863,
409,477.71,66.33,928,854,
410,478.05,73.33,924,856,
411,478.38,70.67,937,859,
412,478.71,69,918,852,
413,479.04,71.67,926,863,
414,479.38,73.67,964,878,
415,479.71,68.67,928,856,
416,480.04,61,911,863,
417,480.38,65.33,924,861,
418,480.71,73.67,939,854,
419,481.04,72.33,934,861,
420,481.38,76.33,930,871,
421,481.71,88.33,951,854,
422,482.04,93.33,953,844,
423,482.38,86.33,920,846,
424,482.71,79.67,941,865,
425,483.04,75,935,846,
426,483.37,71.67,916,856,
427,483.71,63.33,924,858,
428,484.04,64.33,935,871,
429,484.37,62,932,869,
430,484.71,66.67,930,871,
431,485.04,78.33,937,859,
432,485.37,78.33,956,858,
433,485.71,78.67,926,867,
434,486.04,66.33,954,875,
435,486.37,66.67,922,861,
436,486.7,65.33,954,894,
437,487.04,71.67,934,859,
438,487.37,76.33,951,871,
439,487.7,71.67,920,846,
440,488.04,64,915,854,
441,488.37,62.67,928,871,
442,488.7,65.67,928,858,
443,489.04,73.33,922,852,
444,489.37,79.67,947,867,
445,489.7,79,937,848,
446,490.03,65,924,856,
447,490.37,63.33,905,867,
448,490.7,66.67,930,846,
449,491.03,79.33,922,844,
450,491.37,69.67,930,854,
451,491.7,66,924,869,
452,492.03,63.33,928,861,
453,492.37,68.67,935,867,
454,492.7,59.67,930,859,
455,493.03,63,930,890,
456,493.36,68.33,930,852,
457,493.7,84.67,943,856,
458,494.03,82,939,850,
459,494.36,79,937,867,
460,494.7,83,939,861,
461,495.03,84.33,972,871,
462,495.36,84.33,924,850,
463,495.7,74,926,848,
464,496.03,66,941,871,
465,496.36,67.33,934,884,
466,496.69,82.67,924,842,
467,497.03,92.67,975,859,
468,497.36,87,947,867,
469,497.69,70,934,869,
470,498.03,63,924,859,
471,498.36,63.67,920,861,
472,498.69,61.67,930,863,
473,499.03,67,930,871,
474,499.36,76.33,934,859,
475,499.69,77.33,951,856,
476,500.02,75,918,856,
477,500.36,70,924,856,
478,500.69,76.67,943,863,
479,501.02,87.67,949,867,
480,501.36,77.33,953,852,
481,501.69,67.33,905,856,
482,502.02,56.33,932,880,
483,502.35,71,922,854,
484,502.69,84.67,949,856,
485,503.02,77.33,958,865,
486,503.35,68.67,913,867,
487,503.69,71.33,930,863,
488,504.02,80.67,951,850,
489,504.35,76,930,856,
490,504.68,69.67,918,865,
491,505.02,75.33,941,859,
492,505.35,76,966,875,
493,505.68,71.67,907,852,
494,506.02,66,930,861,
495,506.35,70.33,949,875,
496,506.68,70.67,937,869,
497,507.02,76.33,926,856,
498,507.35,67.67,949,858,
499,507.68,73,915,873,
500,508.01,70,951,865,
501,508.35,82,928,846,
502,508.68,81,939,861,
503,509.01,78,939,856,
504,509.35,83.67,934,861,
505,509.68,73.67,956,861,
506,510.01,69.67,928,875,
507,510.34,64.67,926,865,
508,510.68,66,949,869,
509,511.01,64.67,935,878,
510,511.34,66.67,911,854,
511,511.67,71,934,848,
512,512.01,67,943,873,
513,512.34,69.33,916,871,
514,512.67,76.33,932,839,
515,513.01,85.67,939,848,
516,513.34,78.67,934,861,
517,513.67,73.67,926,854,
518,514,79.67,930,854,
519,514.34,77,960,869,
520,514.67,71.67,922,858,
521,515,59,916,856,
522,515.34,56.67,924,871,
523,515.67,62,939,882,
524,516,72,918,842,
525,516.33,72.33,939,856,
