Pixel,Wavelength,Processed,Raw,Dark,Reference
0,341.78,44,934,890,
1,342.11,51.33,920,856,
2,342.44,51.33,907,861,
3,342.77,49.67,911,867,
4,343.1,52.67,928,869,
5,343.43,56.33,916,861,
6,343.76,57.67,918,863,
7,344.09,57,928,865,
8,344.42,63.33,922,869,
9,344.75,68.33,922,848,
10,345.09,68.33,937,859,
11,345.42,58.33,922,869,
12,345.75,55.33,905,861,
13,346.08,55,932,863,
14,346.41,56.33,913,861,
15,346.74,44.67,911,863,
16,347.07,57,905,871,
17,347.4,52.67,943,854,
18,347.73,56,915,880,
19,348.06,46,913,869,
20,348.4,59.67,920,861,
21,348.73,67,937,861,
22,349.06,64.33,922,856,
23,349.39,59.67,907,856,
24,349.72,59.33,935,873,
25,350.05,65.33,932,867,
26,350.38,63.67,915,846,
27,350.71,55.33,894,837,
28,351.04,53,909,869,
29,351.37,48.67,920,858,
30,351.71,52.33,905,861,
31,352.04,43.67,920,869,
32,352.37,44,909,873,
33,352.7,49,918,873,
34,353.03,52.67,924,858,
35,353.36,47.67,922,875,
36,353.69,48.67,897,867,
37,354.02,61,928,859,
38,354.36,73,947,863,
39,354.69,65.67,918,852,
40,355.02,52.67,888,841,
41,355.35,46,918,873,
42,355.68,46,913,867,
43,356.01,61,903,856,
44,356.34,65.67,913,823,
45,356.67,64.67,918,858,
46,357.01,46.67,915,871,
47,357.34,46.67,901,865,
48,357.67,41.33,918,858,
49,358,52,884,856,
50,358.33,49.67,916,848,
51,358.66,68.67,922,869,
52,358.99,61.67,943,858,
53,359.33,69.33,899,852,
54,359.66,56,930,854,
55,359.99,61.33,903,858,
56,360.32,55,913,850,
57,360.65,68.33,907,850,
58,360.98,63.67,941,856,
59,361.31,56,922,873,
60,361.65,41,911,877,
61,361.98,41.33,901,861,
62,362.31,49.67,913,863,
63,362.64,58.67,918,859,
64,362.97,57.33,926,859,
65,363.3,52.67,911,865,
66,363.63,52.33,901,856,
67,363.97,57.33,920,854,
68,364.3,59.33,920,859,
69,364.63,51.33,920,869,
70,364.96,58.33,907,865,
71,365.29,54.67,926,844,
72,365.62,57.67,909,869,
73,365.95,43.67,916,865,
74,366.29,57.33,896,856,
75,366.62,48.67,935,854,
76,366.95,57.67,896,871,
77,367.28,48.33,926,859,
78,367.61,55.33,909,856,
79,367.94,47,913,867,
80,368.28,54,905,863,
81,368.61,51.33,930,856,
82,368.94,48.67,897,859,
83,369.27,47.67,903,869,
84,369.6,54.67,915,844,
85,369.93,52.33,924,865,
86,370.27,40,913,886,
87,370.6,41,886,852,
88,370.93,57.33,920,858,
89,371.26,64,951,875,
90,371.59,61.33,913,859,
91,371.92,56.67,913,859,
92,372.26,59.67,916,854,
93,372.59,63.67,913,850,
94,372.92,67,924,858,
95,373.25,72,935,863,
96,373.58,66.33,941,863,
97,373.92,68.33,926,877,
98,374.25,59,920,842,
99,374.58,47,913,863,
100,374.91,41.33,905,892,
101,375.24,56.67,913,852,
102,375.57,68,918,822,
103,375.91,61.67,920,873,
104,376.24,57,907,865,
105,376.57,63,930,848,
106,376.9,61,911,846,
107,377.23,59.33,901,865,
108,377.57,62.33,918,841,
109,377.9,68.67,930,856,
110,378.23,62.67,911,856,
111,378.56,52,924,865,
112,378.89,42.67,903,861,
113,379.23,43.67,911,884,
114,379.56,55.67,918,856,
115,379.89,69.33,928,850,
116,380.22,48,920,852,
117,380.55,50,875,877,
118,380.89,54,934,850,
119,381.22,66.67,934,854,
120,381.55,61,899,863,
121,381.88,56.67,930,863,
122,382.21,60.67,913,846,
123,382.55,56.33,913,865,
124,382.88,50.67,913,859,
125,383.21,56.67,911,861,
126,383.54,45.67,935,869,
127,383.87,50,888,867,
128,384.21,52,911,848,
129,384.54,48.33,924,852,
130,384.87,47.67,913,903,
131,385.2,50.33,926,865,
132,385.53,59.67,930,850,
133,385.87,61.67,894,856,
134,386.2,54.67,926,859,
135,386.53,64.33,920,861,
136,386.86,57.67,926,859,
137,387.19,70.33,922,875,
138,387.53,69,966,869,
139,387.86,78.67,924,861,
140,388.19,67.33,924,848,
141,388.52,67,909,846,
142,388.86,54.33,918,856,
143,389.19,41.33,928,890,
144,389.52,51.67,899,875,
145,389.85,74.67,928,835,
146,390.18,89.33,932,825,
147,390.52,78.67,924,856,
148,390.85,66.33,930,869,
149,391.18,60,918,848,
150,391.51,57.33,916,867,
151,391.84,61.67,935,882,
