Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,379,9121,8742,
1,950.17,382.67,9030,8634,
2,951.76,384.67,9134,8761,
3,953.34,389.33,9021,8636,
4,954.92,409.67,9138,8728,
5,956.5,420.33,9030,8596,
6,958.08,425,9162,8745,
7,959.66,418.33,9051,8627,
8,961.24,421.67,9165,8751,
9,962.83,429.33,9053,8626,
10,964.41,442.67,9178,8731,
11,965.99,444.67,9081,8627,
12,967.57,447.67,9191,8758,
13,969.15,454.67,9081,8625,
14,970.73,470.67,9207,8732,
15,972.32,482,9103,8622,
16,973.9,495.67,9228,8738,
17,975.48,496.33,9138,8622,
18,977.06,499.33,9220,8737,
19,978.64,491.33,9122,8623,
20,980.22,497.67,9233,8741,
21,981.81,506,9137,8635,
22,983.39,520.33,9269,8745,
23,984.97,523.67,9168,8633,
24,986.55,526,9263,8751,
25,988.13,534,9167,8636,
26,989.72,554,9292,8733,
27,991.3,561,9197,8625,
28,992.88,563.33,9291,8739,
29,994.46,558.67,9203,8637,
30,996.04,565.33,9301,8743,
31,997.62,571,9199,8627,
32,999.21,580.67,9320,8737,
33,1000.79,580.67,9217,8630,
34,1002.37,582.67,9333,8761,
35,1003.95,584,9239,8650,
36,1005.53,600,9327,8736,
37,1007.12,602.33,9231,8611,
38,1008.7,608,9341,8745,
39,1010.28,603,9245,8637,
40,1011.86,611.67,9354,8749,
41,1013.44,617.67,9256,8634,
42,1015.02,628,9370,8744,
43,1016.6,622.67,9253,8617,
44,1018.19,625.67,9360,8754,
45,1019.77,621.67,9268,8633,
46,1021.35,629,9362,8738,
47,1022.93,633,9247,8619,
48,1024.51,648,9387,8740,
49,1026.09,649.67,9304,8635,
50,1027.68,651,9382,8749,
51,1029.26,641.67,9287,8636,
52,1030.84,655.33,9376,8735,
53,1032.42,659.33,9289,8615,
54,1034,670.33,9410,8747,
55,1035.58,659.67,9317,8643,
56,1037.16,661.67,9405,8763,
57,1038.74,661.33,9295,8626,
58,1040.32,684,9415,8742,
59,1041.91,678.33,9331,8621,
60,1043.49,685,9404,8752,
61,1045.07,668.67,9329,8636,
62,1046.65,686.33,9412,8751,
63,1048.23,685.67,9333,8628,
64,1049.81,705.33,9440,8749,
65,1051.39,696,9343,8623,
66,1052.97,702.33,9437,8760,
67,1054.55,696,9342,8632,
68,1056.13,717,9425,8724,
69,1057.71,711.33,9352,8612,
70,1059.29,719.67,9444,8751,
71,1060.87,708.67,9362,8636,
72,1062.45,726,9460,8753,
73,1064.03,720.33,9372,8627,
74,1065.61,736.33,9449,8740,
75,1067.19,726.67,9381,8626,
76,1068.77,748.33,9473,8757,
77,1070.35,741,9399,8625,
78,1071.93,758.33,9494,8761,
79,1073.51,744.33,9406,8638,
80,1075.09,763.33,9470,8738,
81,1076.67,756.67,9402,8612,
82,1078.25,775.33,9514,8766,
83,1079.83,763,9431,8643,
84,1081.41,784,9517,8764,
85,1082.99,783.33,9443,8632,
86,1084.57,809,9534,8748,
87,1086.15,792.33,9445,8615,
88,1087.72,807.67,9525,8764,
89,1089.3,795.33,9468,8636,
