Pixel,Wavelength,Processed,Raw,Dark,Reference
0,341.78,-10,880,890,
1,342.11,15,892,856,
2,342.44,26.67,880,861,
3,342.77,16,892,867,
4,343.1,18,873,869,
5,343.43,16.67,886,861,
6,343.76,21.67,884,863,
7,344.09,20.33,884,865,
8,344.42,28,890,869,
9,344.75,34,892,848,
10,345.09,35.33,896,859,
11,345.42,24.67,894,869,
12,345.75,19.33,873,861,
13,346.08,22,884,863,
14,346.41,27,894,861,
15,346.74,23,890,863,
16,347.07,17.67,880,871,
17,347.4,9.33,871,854,
18,347.73,10,882,880,
19,348.06,16,880,869,
20,348.4,23,896,861,
21,348.73,30.67,884,861,
22,349.06,31,890,856,
23,349.39,29.67,892,856,
24,349.72,24,892,873,
25,350.05,28.67,884,867,
26,350.38,35,896,846,
27,350.71,30,875,837,
28,351.04,14.33,871,869,
29,351.37,19,861,858,
30,351.71,29,913,861,
31,352.04,32.33,901,869,
32,352.37,26.33,886,873,
33,352.7,33.33,907,873,
34,353.03,40.33,911,858,
35,353.36,34,909,875,
36,353.69,29,882,867,
37,354.02,30.33,897,859,
38,354.36,40,901,863,
39,354.69,39.67,896,852,
40,355.02,30,878,841,
41,355.35,24.33,882,873,
42,355.68,24,894,867,
43,356.01,39.33,892,856,
44,356.34,44,878,823,
45,356.67,40.33,899,858,
46,357.01,35.33,896,871,
47,357.34,31.67,905,865,
48,357.67,27.67,888,858,
49,358,25.67,869,856,
50,358.33,18.67,882,848,
51,358.66,22.33,878,869,
52,358.99,25,882,858,
53,359.33,33.33,894,852,
54,359.66,38,888,854,
55,359.99,36.67,896,858,
56,360.32,44.33,888,850,
57,360.65,43.67,907,850,
58,360.98,33.33,892,856,
59,361.31,13.67,880,873,
60,361.65,13.67,875,877,
61,361.98,22.67,897,861,
62,362.31,28,897,863,
63,362.64,27,873,859,
64,362.97,19.67,892,859,
65,363.3,25.67,877,865,
66,363.63,25.33,888,856,
67,363.97,30.33,886,854,
68,364.3,21.67,886,859,
69,364.63,18.67,875,869,
70,364.96,25.67,888,865,
71,365.29,21,892,844,
72,365.62,24.67,861,869,
73,365.95,23.67,899,865,
74,366.29,32.67,901,856,
75,366.62,23.67,873,854,
76,366.95,22,878,871,
77,367.28,29.33,899,859,
78,367.61,29.67,897,856,
79,367.94,21.33,875,867,
80,368.28,19,878,863,
81,368.61,27.33,890,856,
82,368.94,31.33,892,859,
83,369.27,37.67,896,869,
84,369.6,33.67,897,844,
85,369.93,28,886,865,
86,370.27,21.67,896,886,
87,370.6,21.33,886,852,
88,370.93,20.33,878,858,
89,371.26,20,882,875,
90,371.59,18,892,859,
91,371.92,18.67,873,859,
92,372.26,21.67,863,854,
93,372.59,32,892,850,
94,372.92,34.67,903,858,
95,373.25,26.33,880,863,
96,373.58,14.33,880,863,
97,373.92,27,886,877,
98,374.25,34,897,842,
99,374.58,31,901,863,
100,374.91,22,892,892,
101,375.24,27,880,852,
102,375.57,31.33,875,822,
103,375.91,36,886,873,
104,376.24,36.67,907,865,
105,376.57,45.67,903,848,
106,376.9,42,886,846,
107,377.23,35,896,865,
108,377.57,32.33,875,841,
109,377.9,58.67,888,856,
110,378.23,53.67,966,856,
111,378.56,47,884,865,
112,378.89,17.33,873,861,
113,379.23,26.67,905,884,
114,379.56,35.33,903,856,
115,379.89,36.67,888,850,
116,380.22,28.33,877,852,
117,380.55,23.33,899,877,
118,380.89,18.67,873,850,
119,381.22,19,865,854,
120,381.55,21.67,886,863,
121,381.88,27.67,894,863,
122,382.21,25,875,846,
123,382.55,26.33,880,865,
124,382.88,27.67,894,859,
125,383.21,28.33,894,861,
126,383.54,25,886,869,
127,383.87,27.33,892,867,
128,384.21,31,888,848,
129,384.54,24,880,852,
130,384.87,22.67,907,903,
131,385.2,22.33,901,865,
132,385.53,32.33,877,850,
133,385.87,33.67,890,856,
134,386.2,33.67,899,859,
135,386.53,23,888,861,
136,386.86,19.67,861,859,
137,387.19,17,905,875,
138,387.53,24,888,869,
139,387.86,28,884,861,
140,388.19,38.33,890,848,
141,388.52,47,896,846,
142,388.86,28,905,856,
143,389.19,13.67,875,890,
144,389.52,11.33,882,875,
145,389.85,41.67,877,835,
146,390.18,45.67,901,825,
147,390.52,35.33,875,856,
148,390.85,22,880,869,
149,391.18,22.67,884,848,
150,391.51,26.67,888,867,
151,391.84,26,905,882,
152,392.18,33,892,858,
153,392.51,37.33,896,854,
154,392.84,36,901,865,
155,393.17,29,882,852,
156,393.51,29,886,865,
157,393.84,23.33,899,863,
158,394.17,33.33,884,871,
159,394.5,34.67,897,846,
160,394.84,34.67,877,837,
161,395.17,23.33,888,875,
162,395.5,19.67,882,865,
163,395.83,28,877,848,
164,396.16,30.33,905,867,
165,396.5,31,899,875,
166,396.83,23,894,863,
167,397.16,19.33,873,859,
168,397.49,16,880,867,
169,397.83,13.33,886,865,
170,398.16,18.67,875,869,
171,398.49,21.67,890,861,
172,398.82,31.67,886,856,
173,399.16,40.33,892,856,
174,399.49,33.33,899,844,
175,399.82,33.33,880,871,
176,400.15,31.33,892,856,
177,400.49,38.33,905,856,
178,400.82,29.67,905,875,
179,401.15,27,888,878,
180,401.48,25,880,839,
181,401.82,33,897,873,
182,402.15,22,901,867,
183,402.48,25.67,873,865,
184,402.81,27.67,896,861,
185,403.14,39,901,861,
186,403.48,36.33,886,844,
187,403.81,34.33,886,859,
188,404.14,42.67,899,865,
189,404.47,44.33,926,859,
190,404.81,44.33,882,850,
191,405.14,24.33,897,863,
192,405.47,24,882,875,
193,405.8,19.67,890,859,
194,406.14,25.67,880,859,
195,406.47,16,888,863,
196,406.8,26,875,873,
197,407.13,34,901,850,
198,407.47,34,907,858,
199,407.8,29,856,854,
200,408.13,27.67,882,846,
201,408.47,41,901,856,
202,408.8,29,901,859,
203,409.13,16.67,871,871,
204,409.46,13.33,869,861,
205,409.8,18.33,899,867,
206,410.13,20.67,886,871,
207,410.46,23.33,884,869,
208,410.79,24,890,850,
209,411.13,20.33,894,877,
210,411.46,21.33,867,863,
211,411.79,35.33,899,856,
212,412.12,52.33,905,846,
213,412.46,52,905,850,
214,412.79,43.33,884,842,
215,413.12,32.67,892,859,
216,413.45,28.67,888,865,
217,413.79,29.33,903,873,
218,414.12,26.33,894,859,
219,414.45,19.33,875,861,
220,414.78,24.67,882,873,
221,415.12,34,899,848,
222,415.45,38.67,884,842,
223,415.78,30.67,896,873,
224,416.12,35.67,886,859,
225,416.45,39.67,903,846,
226,416.78,42.67,896,861,
227,417.11,34.33,884,848,
228,417.45,49.33,884,852,
229,417.78,49.33,949,869,
230,418.11,43.33,899,863,
231,418.44,30,875,861,
232,418.78,25,907,867,
233,419.11,27.33,892,871,
234,419.44,34.33,880,859,
235,419.78,36.67,909,848,
236,420.11,37.67,901,873,
237,420.44,32.67,901,877,
238,420.77,43,892,846,
239,421.11,46.67,903,844,
240,421.44,34.33,894,859,
241,421.77,26.67,882,873,
242,422.1,20,897,861,
243,422.44,23.33,884,869,
244,422.77,17.67,884,865,
245,423.1,26.67,875,856,
246,423.44,33,892,850,
247,423.77,39.33,894,856,
248,424.1,40,894,856,
249,424.43,26.67,907,863,
250,424.77,26.67,871,873,
251,425.1,36,888,850,
252,425.43,45.67,913,841,
253,425.76,53.33,894,867,
254,426.1,47.67,875,814,
255,426.43,57.67,905,850,
256,426.76,50,892,835,
257,427.1,49,913,875,
258,427.43,44.67,915,863,
259,427.76,45.67,894,850,
260,428.09,39.33,897,856,
261,428.43,37.33,894,861,
262,428.76,35.67,897,859,
263,429.09,43.67,897,861,
264,429.43,51.33,899,842,
265,429.76,55,911,850,
266,430.09,38,899,852,
267,430.42,27.67,873,867,
268,430.76,25.33,886,856,
269,431.09,36,888,848,
270,431.42,34.67,896,858,
271,431.76,38.33,899,873,
272,432.09,40.67,903,852,
273,432.42,36.33,897,852,
274,432.75,35,890,877,
275,433.09,37.67,901,854,
276,433.42,43,905,852,
277,433.75,42.67,892,863,
278,434.09,37,890,844,
279,434.42,40.67,892,856,
280,434.75,33.67,896,856,
281,435.09,40.67,886,861,
282,435.42,44.33,916,859,
283,435.75,49.33,903,852,
284,436.08,49.33,901,861,
285,436.42,51.33,922,865,
286,436.75,52,903,846,
287,437.08,54,903,861,
288,437.42,47.67,943,880,
289,437.75,48.67,909,871,
290,438.08,39,899,854,
291,438.41,45.33,886,852,
292,438.75,49.33,896,839,
293,439.08,55.33,915,858,
294,439.41,56,913,861,
295,439.75,54.67,918,859,
296,440.08,52.67,916,863,
297,440.41,44,907,861,
298,440.74,43.67,892,859,
299,441.08,48,911,859,
300,441.41,48.33,905,846,
301,441.74,42.67,911,877,
302,442.08,44.67,896,861,
303,442.41,44.33,909,844,
304,442.74,50.67,894,861,
305,443.08,50.67,915,861,
306,443.41,59.33,911,846,
307,443.74,58.33,913,854,
308,444.07,57.67,909,858,
309,444.41,54,913,850,
310,444.74,51.67,909,861,
311,445.07,51.67,911,867,
312,445.41,59.67,928,865,
313,445.74,44.33,913,841,
314,446.07,24,909,911,
315,446.41,27.67,880,878,
316,446.74,51.67,941,858,
317,447.07,52.33,924,854,
318,447.4,42.67,863,859,
319,447.74,46,913,859,
320,448.07,63,928,848,
321,448.4,58.67,924,869,
322,448.74,53.67,899,858,
323,449.07,53.67,924,859,
324,449.4,58.33,932,877,
325,449.74,55,913,858,
326,450.07,52.67,905,850,
327,450.4,41.33,913,865,
328,450.73,36.33,901,880,
329,451.07,48.33,901,861,
330,451.4,66.67,915,831,
331,451.73,71.67,928,852,
332,452.07,68.33,918,863,
333,452.4,63.33,924,850,
334,452.73,59,909,848,
335,453.07,54.67,911,869,
336,453.4,59.67,920,859,
337,453.73,66.67,932,856,
338,454.06,64,926,863,
339,454.4,57.67,922,869,
340,454.73,50.67,909,852,
341,455.06,48.67,903,861,
342,455.4,53,916,869,
343,455.73,65.67,935,865,
344,456.06,59,928,848,
345,456.4,52.67,894,867,
346,456.73,48,916,865,
347,457.06,58.33,903,837,
348,457.4,56.33,916,858,
349,457.73,50.33,920,875,
350,458.06,46.33,911,863,
351,458.39,52,905,859,
352,458.73,61.33,916,854,
353,459.06,70.67,934,858,
354,459.39,70.33,932,858,
355,459.73,70.67,930,869,
356,460.06,76.33,935,858,
357,460.39,70,941,850,
358,460.73,61.33,903,861,
359,461.06,62.67,928,877,
360,461.39,67.67,949,854,
361,461.73,70.33,916,859,
362,462.06,52,918,859,
363,462.39,57.67,918,878,
364,462.72,67.67,930,856,
365,463.06,76.33,926,837,
366,463.39,73.33,922,856,
367,463.72,66.67,932,867,
368,464.06,57,930,861,
369,464.39,60.67,915,878,
370,464.72,57.67,922,846,
371,465.06,70.67,918,858,
372,465.39,63.67,934,858,
373,465.72,67.67,924,869,
374,466.06,60,924,852,
375,466.39,67,909,856,
376,466.72,66.67,932,856,
377,467.05,70,932,861,
378,467.39,59.33,915,852,
379,467.72,59.67,903,859,
380,468.05,66.33,941,869,
381,468.39,65,939,856,
382,468.72,63.67,899,859,
383,469.05,64,937,869,
384,469.39,71.67,928,844,
385,469.72,61.67,911,848,
386,470.05,52,913,875,
387,470.38,53.67,932,877,
388,470.72,58,918,850,
389,471.05,55,926,875,
390,471.38,56,934,888,
391,471.72,63.67,932,861,
