Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,397,9139,8742,
1,950.17,405,9050,8634,
2,951.76,411.33,9163,8761,
3,953.34,414,9052,8636,
4,954.92,429.67,9152,8728,
5,956.5,440,9045,8596,
6,958.08,450.67,9192,8745,
7,959.66,448,9083,8627,
8,961.24,453.67,9192,8751,
9,962.83,459,9090,8626,
10,964.41,471.67,9203,8731,
11,965.99,472.33,9106,8627,
12,967.57,475.33,9224,8758,
13,969.15,480.33,9106,8625,
14,970.73,488,9226,8732,
15,972.32,497.33,9111,8622,
16,973.9,508,9247,8738,
17,975.48,518.67,9148,8622,
18,977.06,532,9258,8737,
19,978.64,528.67,9172,8623,
20,980.22,534.67,9257,8741,
21,981.81,534.33,9174,8635,
22,983.39,551,9293,8745,
23,984.97,555.33,9199,8633,
24,986.55,564.67,9303,8751,
25,988.13,565.67,9212,8636,
26,989.72,575,9302,8733,
27,991.3,577.67,9205,8625,
28,992.88,586,9323,8739,
29,994.46,591.67,9231,8637,
30,996.04,602.33,9340,8743,
31,997.62,603,9243,8627,
32,999.21,608.67,9333,8737,
33,1000.79,609.33,9244,8630,
34,1002.37,623,9379,8761,
35,1003.95,620.67,9287,8650,
36,1005.53,627.33,9343,8736,
37,1007.12,623.67,9249,8611,
38,1008.7,637.33,9371,8745,
39,1010.28,636.67,9285,8637,
40,1011.86,641.67,9385,8749,
41,1013.44,638.33,9275,8634,
42,1015.02,644.33,9382,8744,
43,1016.6,649.33,9271,8617,
44,1018.19,659.33,9410,8754,
45,1019.77,660.33,9301,8633,
46,1021.35,665.67,9395,8738,
47,1022.93,665,9291,8619,
48,1024.51,674.33,9406,8740,
49,1026.09,675.33,9320,8635,
50,1027.68,681,9424,8749,
51,1029.26,677.33,9319,8636,
52,1030.84,687.33,9409,8735,
53,1032.42,686,9320,8615,
54,1034,691.67,9426,8747,
55,1035.58,681.67,9334,8643,
56,1037.16,688.67,9438,8763,
57,1038.74,688,9326,8626,
58,1040.32,703.67,9431,8742,
59,1041.91,700.33,9343,8621,
60,1043.49,713.67,9442,8752,
61,1045.07,708,9365,8636,
62,1046.65,721,9456,8751,
63,1048.23,712.33,9357,8628,
64,1049.81,723,9452,8749,
65,1051.39,719.33,9360,8623,
66,1052.97,733,9478,8760,
67,1054.55,732.67,9376,8632,
68,1056.13,748,9460,8724,
69,1057.71,740.67,9376,8612,
70,1059.29,748,9473,8751,
71,1060.87,737.33,9394,8636,
72,1062.45,755,9485,8753,
73,1064.03,751,9402,8627,
74,1065.61,765.67,9486,8740,
75,1067.19,759.33,9402,8626,
76,1068.77,775.33,9513,8757,
77,1070.35,771.67,9419,8625,
78,1071.93,782.67,9526,8761,
79,1073.51,777,9427,8638,
80,1075.09,794,9515,8738,
81,1076.67,790.33,9428,8612,
82,1078.25,806.67,9544,8766,
83,1079.83,797,9469,8643,
84,1081.41,821.33,9551,8764,
85,1082.99,814,9483,8632,
86,1084.57,833.33,9552,8748,
87,1086.15,816.33,9460,8615,
88,1087.72,838.33,9564,8764,
89,1089.3,829.33,9506,8636,
90,1090.88,852,9551,8733,
91,1092.46,837,9480,8612,
92,1094.04,859,9587,8762,
93,1095.62,847.33,9525,8641,
94,1097.2,874,9600,8767,
95,1098.77,854.67,9538,8633,
96,1100.35,882,9582,8756,
97,1101.93,861.33,9535,8620,
98,1103.51,883.67,9607,8764,
99,1105.09,859.67,9533,8640,
100,1106.66,883.33,9599,8756,
101,1108.24,867,9543,8629,
102,1109.82,890.33,9601,8757,
103,1111.4,862.67,9551,8638,
104,1112.97,888,9599,8768,
105,1114.55,860.33,9544,8624,
106,1116.13,878,9603,8773,
107,1117.7,845,9515,8631,
108,1119.28,864,9576,8755,
109,1120.86,833,9509,8622,
110,1122.43,841.67,9563,8772,
111,1124.01,800,9478,8631,
112,1125.59,814.33,9510,8748,
113,1127.16,780.67,9449,8615,
114,1128.74,789.67,9510,8764,
115,1130.31,745,9425,8636,
116,1131.89,752,9459,8759,
117,1133.46,722.33,9402,8635,
118,1135.04,743,9443,8743,
119,1136.61,710.67,9379,8617,
120,1138.19,726,9429,8759,
121,1139.76,696.67,9378,8632,
122,1141.34,725,9425,8751,
123,1142.91,706,9380,8625,
124,1144.49,739,9463,8774,
125,1146.06,729.33,9403,8630,
126,1147.64,774,9481,8755,
127,1149.21,766.67,9460,8637,
128,1150.78,814.67,9503,8752,
129,1152.36,797.67,9483,8613,
130,1153.93,838.33,9542,8770,
131,1155.51,811.33,9498,8625,
132,1157.08,850.33,9558,8769,
133,1158.65,824.67,9523,8634,
134,1160.22,863.33,9552,8756,
135,1161.8,828.33,9525,8620,
136,1163.37,863,9567,8783,
137,1164.94,829.33,9533,8633,
138,1166.51,870.67,9577,8773,
139,1168.09,832,9514,8606,
140,1169.66,860.67,9537,8753,
141,1171.23,816.67,9514,8624,
142,1172.8,847.33,9552,8776,
143,1174.37,807,9521,8645,
144,1175.94,838.67,9524,8755,
145,1177.51,797.33,9488,8617,
146,1179.09,824.67,9523,8771,
147,1180.66,793.67,9490,8639,
148,1182.23,838.67,9556,8778,
149,1183.8,816.33,9508,8621,
150,1185.37,848.67,9538,8754,
151,1186.94,809.33,9510,8635,
152,1188.51,846,9541,8772,
153,1190.08,822.33,9526,8632,
154,1191.65,863,9574,8770,
155,1193.21,827.33,9537,8646,
156,1194.78,862.33,9541,8754,
157,1196.35,840.67,9525,8616,
158,1197.92,886.67,9591,8765,
159,1199.49,858,9565,8640,
160,1201.06,897.67,9584,8761,
161,1202.62,862.33,9569,8624,
162,1204.19,896.67,9586,8767,
163,1205.76,861,9561,8635,
164,1207.33,904.33,9623,8785,
165,1208.89,879.67,9615,8666,
166,1210.46,925,9609,8757,
167,1212.03,894,9610,8636,
168,1213.59,935,9633,8777,
169,1215.16,907.33,9627,8652,
170,1216.73,958,9664,8773,
171,1218.29,935.33,9648,8640,
172,1219.86,975.67,9682,8775,
173,1221.42,944.67,9651,8639,
174,1222.99,987,9699,8784,
175,1224.55,962.67,9682,8648,
176,1226.12,1007.33,9712,8773,
177,1227.68,975.33,9698,8649,
178,1229.25,1010,9716,8778,
179,1230.81,976.33,9681,8638,
180,1232.37,1017.67,9728,8780,
181,1233.94,994,9707,8645,
182,1235.5,1042.67,9740,8768,
183,1237.06,1008,9718,8624,
184,1238.63,1046,9728,8770,
185,1240.19,1013,9726,8640,
186,1241.75,1054.33,9787,8792,
187,1243.31,1023.33,9731,8649,
188,1244.88,1061.33,9765,8772,
189,1246.44,1037.67,9745,8636,
190,1248,1068.67,9793,8782,
191,1249.56,1045.67,9735,8649,
192,1251.12,1086.33,9794,8754,
193,1252.68,1067,9775,8642,
194,1254.24,1098.67,9801,8773,
195,1255.8,1067,9774,8639,
196,1257.36,1105.67,9835,8797,
197,1258.92,1088,9808,8664,
198,1260.48,1128,9850,8768,
199,1262.04,1100.67,9807,8649,
200,1263.6,1124.33,9840,8778,
201,1265.16,1099.33,9829,8676,
202,1266.71,1131,9875,8792,
203,1268.27,1115.33,9830,8673,
204,1269.83,1144.67,9870,8764,
205,1271.39,1127.67,9828,8657,
206,1272.94,1147.33,9889,8783,
207,1274.5,1129,9823,8658,
208,1276.06,1156.33,9888,8772,
209,1277.61,1136.67,9846,8658,
210,1279.17,1154,9881,8775,
211,1280.73,1131.33,9824,8656,
212,1282.28,1161,9915,8795,
213,1283.84,1157.67,9870,8675,
214,1285.39,1181.33,9915,8757,
