Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,383,9125,8742,
1,950.17,394.33,9030,8634,
2,951.76,405,9165,8761,
3,953.34,419,9051,8636,
4,954.92,436.67,9166,8728,
5,956.5,437.67,9053,8596,
6,958.08,436,9163,8745,
7,959.66,437,9060,8627,
8,961.24,452,9211,8751,
9,962.83,464,9089,8626,
10,964.41,468,9200,8731,
11,965.99,463.33,9099,8627,
12,967.57,460,9207,8758,
13,969.15,472.33,9084,8625,
14,970.73,488.67,9241,8732,
15,972.32,501.67,9120,8622,
16,973.9,503,9236,8738,
17,975.48,509.33,9135,8622,
18,977.06,519.67,9254,8737,
19,978.64,528,9152,8623,
20,980.22,539,9279,8741,
21,981.81,543,9185,8635,
22,983.39,545,9286,8745,
23,984.97,543.67,9177,8633,
24,986.55,549.67,9297,8751,
25,988.13,564,9195,8636,
26,989.72,578.67,9320,8733,
27,991.3,579.33,9215,8625,
28,992.88,574.33,9300,8739,
29,994.46,575.67,9209,8637,
30,996.04,590,9337,8743,
31,997.62,598.33,9231,8627,
32,999.21,598.33,9334,8737,
33,1000.79,590.67,9224,8630,
34,1002.37,590.67,9342,8761,
35,1003.95,600.33,9247,8650,
36,1005.53,621,9359,8736,
37,1007.12,626.33,9254,8611,
38,1008.7,623,9358,8745,
39,1010.28,617,9250,8637,
40,1011.86,626.67,9374,8749,
41,1013.44,641.33,9276,8634,
42,1015.02,650.67,9401,8744,
43,1016.6,646,9270,8617,
44,1018.19,640.33,9382,8754,
45,1019.77,645.33,9273,8633,
46,1021.35,657.67,9406,8738,
47,1022.93,664,9284,8619,
48,1024.51,669.33,9399,8740,
49,1026.09,666,9319,8635,
50,1027.68,663,9404,8749,
51,1029.26,657.67,9286,8636,
52,1030.84,671.33,9403,8735,
53,1032.42,685,9311,8615,
54,1034,689.67,9438,8747,
55,1035.58,677,9325,8643,
56,1037.16,674.33,9421,8763,
57,1038.74,680,9309,8626,
58,1040.32,702.67,9441,8742,
59,1041.91,700,9347,8621,
60,1043.49,703.33,9427,8752,
61,1045.07,693.33,9345,8636,
62,1046.65,707.33,9447,8751,
63,1048.23,706.67,9345,8628,
64,1049.81,719,9456,8749,
65,1051.39,710.33,9356,8623,
66,1052.97,715.33,9451,8760,
67,1054.55,714.33,9354,8632,
68,1056.13,740,9454,8724,
69,1057.71,740.33,9380,8612,
70,1059.29,746.33,9474,8751,
71,1060.87,727,9384,8636,
72,1062.45,735,9463,8753,
73,1064.03,740.33,9374,8627,
74,1065.61,767,9504,8740,
75,1067.19,764.33,9416,8626,
76,1068.77,767.67,9496,8757,
77,1070.35,757,9399,8625,
78,1071.93,772,9519,8761,
79,1073.51,773.67,9422,8638,
80,1075.09,795.33,9517,8738,
81,1076.67,789.67,9435,8612,
82,1078.25,794.67,9533,8766,
83,1079.83,780.67,9437,8643,
84,1081.41,805.67,9545,8764,
85,1082.99,810,9474,8632,
86,1084.57,833,9555,8748,
87,1086.15,811.67,9465,8615,
88,1087.72,822.67,9542,8764,
89,1089.3,817.67,9476,8636,
90,1090.88,847.67,9568,8733,
91,1092.46,837.33,9480,8612,
92,1094.04,850.67,9571,8762,
93,1095.62,834,9516,8641,
94,1097.2,855.33,9585,8767,
95,1098.77,847.67,9506,8633,
96,1100.35,880.67,9608,8756,
97,1101.93,861,9537,8620,
98,1103.51,864.67,9578,8764,
99,1105.09,837.33,9503,8640,
100,1106.66,864.67,9591,8756,
101,1108.24,860.33,9525,8629,
102,1109.82,884.33,9607,8757,
103,1111.4,854.67,9545,8638,
104,1112.97,869.67,9575,8768,
105,1114.55,842.67,9519,8624,
106,1116.13,866,9599,8773,
107,1117.7,842.33,9508,8631,
108,1119.28,859,9579,8755,
109,1120.86,821.33,9498,8622,
110,1122.43,822,9536,8772,
111,1124.01,787,9457,8631,
112,1125.59,810.33,9519,8748,
113,1127.16,777,9449,8615,
114,1128.74,776.67,9490,8764,
115,1130.31,731.33,9406,8636,
116,1131.89,738.33,9457,8759,
117,1133.46,713.67,9382,8635,
118,1135.04,737,9439,8743,
119,1136.61,701.67,9385,8617,
120,1138.19,711.33,9400,8759,
121,1139.76,678.33,9357,8632,
122,1141.34,707.33,9420,8751,
123,1142.91,694,9353,8625,
124,1144.49,728.33,9459,8774,
125,1146.06,719.33,9402,8630,
126,1147.64,759.67,9456,8755,
127,1149.21,752,9443,8637,
128,1150.78,800.67,9501,8752,
129,1152.36,790.33,9460,8613,
130,1153.93,831.67,9545,8770,
131,1155.51,804.33,9498,8625,
132,1157.08,833.67,9534,8769,
133,1158.65,816.33,9497,8634,
134,1160.22,862.33,9577,8756,
135,1161.8,829.67,9523,8620,
136,1163.37,848.67,9548,8783,
137,1164.94,808.33,9511,8633,
138,1166.51,848,9555,8773,
139,1168.09,821,9490,8606,
140,1169.66,859.33,9550,8753,
141,1171.23,814.33,9521,8624,
142,1172.8,830.33,9525,8776,
143,1174.37,787.33,9490,8645,
144,1175.94,826.33,9523,8755,
145,1177.51,800.67,9483,8617,
146,1179.09,832.33,9539,8771,
147,1180.66,792,9502,8639,
148,1182.23,821.33,9523,8778,
149,1183.8,796.33,9477,8621,
150,1185.37,841.33,9542,8754,
151,1186.94,812.33,9515,8635,
152,1188.51,840.33,9541,8772,
153,1190.08,804.33,9504,8632,
154,1191.65,837,9542,8770,
155,1193.21,814,9513,8646,
156,1194.78,861.33,9557,8754,
157,1196.35,838.67,9530,8616,
158,1197.92,870,9564,8765,
159,1199.49,837.33,9537,8640,
160,1201.06,880.33,9577,8761,
161,1202.62,857.33,9552,8624,
162,1204.19,896,9595,8767,
163,1205.76,857.33,9567,8635,
164,1207.33,886.67,9597,8785,
165,1208.89,865,9582,8666,
166,1210.46,918.67,9624,8757,
167,1212.03,891,9609,8636,
168,1213.59,922,9610,8777,
169,1215.16,886.33,9612,8652,
170,1216.73,935.33,9639,8773,
171,1218.29,916.67,9620,8640,
172,1219.86,963.33,9679,8775,
173,1221.42,936.67,9645,8639,
174,1222.99,976.33,9684,8784,
175,1224.55,949,9671,8648,
176,1226.12,994.67,9697,8773,
177,1227.68,967.67,9686,8649,
178,1229.25,1009.67,9720,8778,
179,1230.81,977.67,9688,8638,
180,1232.37,1014.33,9721,8780,
181,1233.94,984,9697,8645,
182,1235.5,1027.33,9727,8768,
183,1237.06,1001.67,9695,8624,
184,1238.63,1047,9745,8770,
185,1240.19,1009.67,9735,8640,
186,1241.75,1039.33,9751,8792,
187,1243.31,1002.33,9713,8649,
188,1244.88,1050.67,9756,8772,
