Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,817,9559,8742,
1,950.17,831.33,9472,8634,
2,951.76,843.33,9600,8761,
3,953.34,858.33,9489,8636,
4,954.92,881,9611,8728,
5,956.5,896,9503,8596,
6,958.08,906.67,9643,8745,
7,959.66,910,9542,8627,
8,961.24,924,9668,8751,
9,962.83,939.67,9566,8626,
10,964.41,958,9693,8731,
11,965.99,966,9599,8627,
12,967.57,976.33,9722,8758,
13,969.15,990.33,9618,8625,
14,970.73,1012,9746,8732,
15,972.32,1021,9651,8622,
16,973.9,1031.67,9758,8738,
17,975.48,1046.33,9668,8622,
18,977.06,1071.67,9810,8737,
19,978.64,1083,9719,8623,
20,980.22,1097,9821,8741,
21,981.81,1111,9750,8635,
22,983.39,1135.67,9883,8745,
23,984.97,1140,9787,8633,
24,986.55,1151.67,9879,8751,
25,988.13,1159,9809,8636,
26,989.72,1178,9909,8733,
27,991.3,1187.67,9810,8625,
28,992.88,1207,9941,8739,
29,994.46,1224,9871,8637,
30,996.04,1240.33,9979,8743,
31,997.62,1246.33,9878,8627,
32,999.21,1259.67,9989,8737,
33,1000.79,1263.67,9906,8630,
34,1002.37,1276.67,10024,8761,
35,1003.95,1281,9941,8650,
36,1005.53,1300.33,10025,8736,
37,1007.12,1303.67,9932,8611,
38,1008.7,1319,10046,8745,
39,1010.28,1316.67,9972,8637,
40,1011.86,1333,10063,8749,
41,1013.44,1334.67,9984,8634,
42,1015.02,1350,10084,8744,
43,1016.6,1347,9977,8617,
44,1018.19,1360,10095,8754,
45,1019.77,1364.67,10012,8633,
46,1021.35,1385.67,10112,8738,
47,1022.93,1384,10023,8619,
48,1024.51,1395,10114,8740,
49,1026.09,1392,10042,8635,
50,1027.68,1408.33,10144,8749,
51,1029.26,1407.33,10059,8636,
52,1030.84,1426,10139,8735,
53,1032.42,1424.67,10066,8615,
54,1034,1441.67,10166,8747,
55,1035.58,1434,10098,8643,
56,1037.16,1451,10191,8763,
57,1038.74,1447.67,10096,8626,
58,1040.32,1467,10187,8742,
59,1041.91,1462,10107,8621,
60,1043.49,1481,10207,8752,
61,1045.07,1476.67,10138,8636,
62,1046.65,1497,10224,8751,
63,1048.23,1489.33,10144,8628,
64,1049.81,1512,10228,8749,
65,1051.39,1508.67,10164,8623,
66,1052.97,1534.33,10266,8760,
67,1054.55,1536.33,10188,8632,
68,1056.13,1567.67,10271,8724,
69,1057.71,1555.67,10212,8612,
70,1059.29,1563.67,10271,8751,
71,1060.87,1543,10207,8636,
72,1062.45,1579,10291,8753,
73,1064.03,1583,10255,8627,
74,1065.61,1620,10323,8740,
75,1067.19,1599.33,10275,8626,
76,1068.77,1625.67,10323,8757,
77,1070.35,1614,10287,8625,
78,1071.93,1652.67,10375,8761,
79,1073.51,1642.33,10320,8638,
80,1075.09,1675,10369,8738,
81,1076.67,1665,10324,8612,
82,1078.25,1701,10418,8766,
83,1079.83,1690,10382,8643,
84,1081.41,1730,10443,8764,
85,1082.99,1715,10404,8632,
86,1084.57,1745,10442,8748,
87,1086.15,1726.33,10384,8615,
88,1087.72,1768,10480,8764,
89,1089.3,1761.33,10455,8636,
90,1090.88,1797,10482,8733,
91,1092.46,1771.33,10435,8612,
92,1094.04,1805.33,10504,8762,
93,1095.62,1789.67,10492,8641,
94,1097.2,1835.33,10543,8767,
95,1098.77,1816.33,10512,8633,
96,1100.35,1862.33,10550,8756,
97,1101.93,1832,10534,8620,
98,1103.51,1860,10552,8764,
99,1105.09,1822.67,10518,8640,
100,1106.66,1867.67,10558,8756,
101,1108.24,1844,10552,8629,
102,1109.82,1884.67,10564,8757,
