Pixel,Wavelength,Processed,Raw,Dark,Reference
0,948.59,399,9141,8742,
1,950.17,403.67,9049,8634,
2,951.76,409,9158,8761,
3,953.34,411.33,9051,8636,
4,954.92,430.33,9150,8728,
5,956.5,437,9050,8596,
6,958.08,445.33,9180,8745,
7,959.66,441.33,9074,8627,
8,961.24,449.67,9193,8751,
9,962.83,453.67,9086,8626,
10,964.41,463,9190,8731,
11,965.99,463.33,9097,8627,
12,967.57,469,9219,8758,
13,969.15,476.33,9101,8625,
14,970.73,488.67,9224,8732,
15,972.32,501.33,9120,8622,
16,973.9,511.67,9252,8738,
17,975.48,515,9145,8622,
18,977.06,519,9245,8737,
19,978.64,520.33,9149,8623,
20,980.22,531.33,9268,8741,
21,981.81,540,9176,8635,
22,983.39,551,9297,8745,
23,984.97,548.67,9193,8633,
24,986.55,546.67,9285,8751,
25,988.13,553.67,9182,8636,
26,989.72,572.33,9314,8733,
27,991.3,582.67,9215,8625,
28,992.88,587,9316,8739,
29,994.46,585.33,9231,8637,
30,996.04,590.33,9328,8743,
31,997.62,591.33,9219,8627,
32,999.21,600.67,9334,8737,
33,1000.79,597.33,9243,8630,
34,1002.37,597.67,9343,8761,
35,1003.95,594.33,9248,8650,
36,1005.53,611.67,9339,8736,
37,1007.12,620,9245,8611,
38,1008.7,628.33,9368,8745,
39,1010.28,623.67,9265,8637,
40,1011.86,627.33,9369,8749,
41,1013.44,635.67,9268,8634,
42,1015.02,647,9397,8744,
43,1016.6,645.67,9271,8617,
44,1018.19,646,9384,8754,
45,1019.77,646.67,9287,8633,
46,1021.35,658,9394,8738,
47,1022.93,657,9283,8619,
48,1024.51,663,9391,8740,
49,1026.09,662,9309,8635,
50,1027.68,668.67,9410,8749,
51,1029.26,664.33,9307,8636,
52,1030.84,676.33,9396,8735,
53,1032.42,680,9312,8615,
54,1034,689.67,9429,8747,
55,1035.58,682.33,9333,8643,
56,1037.16,690.33,9438,8763,
57,1038.74,689,9332,8626,
58,1040.32,699.33,9428,8742,
59,1041.91,692,9327,8621,
60,1043.49,704.33,9436,8752,
61,1045.07,697,9359,8636,
62,1046.65,708.33,9435,8751,
63,1048.23,703.67,9346,8628,
64,1049.81,723,9458,8749,
65,1051.39,718.33,9365,8623,
66,1052.97,726.33,9464,8760,
67,1054.55,716,9365,8632,
68,1056.13,734,9435,8724,
69,1057.71,733,9370,8612,
70,1059.29,746,9481,8751,
71,1060.87,737,9386,8636,
72,1062.45,748.67,9484,8753,
73,1064.03,742.33,9392,8627,
74,1065.61,759,9471,8740,
75,1067.19,751.67,9407,8626,
76,1068.77,770.33,9500,8757,
77,1070.35,760.33,9412,8625,
78,1071.93,774.67,9512,8761,
79,1073.51,766.67,9424,8638,
80,1075.09,788,9501,8738,
81,1076.67,784,9427,8612,
82,1078.25,800.33,9540,8766,
83,1079.83,783.67,9455,8643,
84,1081.41,799,9529,8764,
85,1082.99,796.67,9452,8632,
86,1084.57,826.33,9553,8748,
87,1086.15,813,9469,8615,
88,1087.72,824,9544,8764,
89,1089.3,810.33,9474,8636,
90,1090.88,840.33,9546,8733,
91,1092.46,834.67,9482,8612,
92,1094.04,856.33,9583,8762,
93,1095.62,837.67,9519,8641,
94,1097.2,855,9581,8767,
95,1098.77,840,9506,8633,
96,1100.35,873.33,9589,8756,
97,1101.93,856,9534,8620,
98,1103.51,873.33,9585,8764,
99,1105.09,846.33,9525,8640,
100,1106.66,869.67,9589,8756,
101,1108.24,855,9520,8629,
102,1109.82,879.67,9598,8757,
103,1111.4,856,9545,8638,
104,1112.97,879.67,9588,8768,
105,1114.55,845.33,9536,8624,
106,1116.13,864.33,9577,8773,
107,1117.7,833.33,9508,8631,
108,1119.28,864,9574,8755,
109,1120.86,831.33,9518,8622,
110,1122.43,840.67,9551,8772,
111,1124.01,791.33,9478,8631,
112,1125.59,805.33,9496,8748,
113,1127.16,767.33,9436,8615,
114,1128.74,779.67,9497,8764,
115,1130.31,737.33,9421,8636,
116,1131.89,747.67,9453,8759,
117,1133.46,714.33,9399,8635,
118,1135.04,733,9428,8743,
119,1136.61,700,9367,8617,
120,1138.19,715,9424,8759,
121,1139.76,685.67,9362,8632,
122,1141.34,708,9413,8751,
123,1142.91,689,9357,8625,
124,1144.49,722.67,9447,8774,
125,1146.06,720.67,9393,8630,
126,1147.64,767,9481,8755,
127,1149.21,758.33,9449,8637,
128,1150.78,796.67,9489,8752,
129,1152.36,781.33,9454,8613,
130,1153.93,825,9536,8770,
131,1155.51,800.67,9493,8625,
132,1157.08,837,9537,8769,
133,1158.65,811,9509,8634,
134,1160.22,850.67,9546,8756,
